Periode;Wijk;Zone;Naam straat / segment;Parkeercapaciteit 2013;bewoner aantal augustus 2013;buitenlander aantal augustus 2013;andere aantal augustus 2013;totaal aantal augustus 2013 ;% bezetting augustus 2013;% bewoner augustus 2013;% buitenlander augustus 2013;% andere augustus 2013;opmerkingen augustus 2013;B: betalend ook bewoners BV: betalend uitgezonderd bewoners;Parkeercapaciteit 2009;bewoner aantal augustus 2009;buitenlander aantal augustus 2009;andere aantalaugustus 2009 ;totaal aantal augustus 2009 ;% bezetting augustus 2009;% bewoner augustus 2009;% buitenlander augustus 2009;% andere augustus 2009;opmerkingen augustus 2009 ;latWGS84;loWGS84;Aangemaakt op
aug/13;3;1;Annuntiatenstraat (Lange Raamstraat - Sint-Gillisdorpstraat) paar (zuid);5;2;0;2;4;0.8;0,5;0;0,5;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Annuntiatenstraat (Lange Rei - Baliestraat) onpaar (noord);24;6;0;6;12;0.5;0,5;0;0,5;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Annuntiatenstraat (Noord-Gistelhof - Lange Raamstraat) paar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Annuntiatenstraat (Sint-Gillisdorpstraat - Baliestraat) paar (zuid);12;6;0;2;8;0.666666666666667;0,75;0;0,25;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Annuntiatenstraat noord (Baliestraat - ingang Wit Gele Kruis);14;8;1;3;12;0.857142857142857;0,666666667;0,083333333;0,25;inname OD voor private werken: verlies 4 pp;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Annuntiatenstraat totaal;95;40;2;19;61;0.642105263157895;0,655737705;0,032786885;0,31147541;;;90;35;1;20;56;0.622222222222222;0,625;0,017857143;0,357142857;;;;8/07/2016
aug/13;3;1;Augustijnenrei (Hoedenmakerstraat - J.Miraelstraat) kant huizen (noord);34;14;4;17;35;102.941.176.470.588;0,4;0,114285714;0,485714286;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Augustijnenrei (J.Miraelstraat - Sint-Jorisstraat) kant huizen (noord);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Augustijnenrei (J.Miraelstraat - Spanjaardstraat) kant water (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Augustijnenrei (Oost-Gistelhof - Hoedenmakerstraat) kant huizen (noord);4;0;0;3;3;0.75;0;0;1;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Augustijnenrei (Sint-Jorisstraat - J. Miraelstraat) kant water (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Augustijnenrei (Spanjaardstraat - Oost-Gistelhof) kant water (zuid);5;2;3;2;7;1.4;0,285714286;0,428571429;0,285714286;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Augustijnenrei totaal;43;16;7;22;45;104.651.162.790.698;0,355555556;0,155555556;0,488888889;;;53;16;0;27;43;0.811320754716981;0,372093023;0;0,627906977;;;;8/07/2016
aug/13;3;1;Baliestraat (Annuntiatenstraat - Kleine Nieuwstraat) paar (oost);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Baliestraat (Annuntiatenstraat - Lange Raamstraat) onpaar (west);15;5;3;4;12;0.8;0,416666667;0,25;0,333333333;inname OD voor private werken: verlies 1 pp;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Baliestraat (Calvariebergstraat - Annuntiatenstraat) onpaar (west);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Baliestraat (Kleine Nieuwstraat - Calvariebergstraat) paar (oost);20;6;0;4;10;0.5;0,6;0;0,4;inname OD voor private werken: verlies 2 pp;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Baliestraat (Lange Raamstraat - Sint-Gilliskerkhof) paar (oost);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Baliestraat (Sint-Gilliskerkhof - Annuntiatenstraat) paar (oost);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Baliestraat totaal;35;11;3;8;22;0.628571428571429;0,5;0,136363636;0,363636364;;;36;17;3;10;30;0.833333333333333;0,566666667;0,1;0,333333333;;;;8/07/2016
aug/13;3;1;Bidderstraat (Annuntiatenstraat - Sint-Clarastraat) paar (zuid);14;6;0;1;7;0.5;0,857142857;0;0,142857143;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Bidderstraat (Annuntiatenstraat - Sint-Gillisdorpstraat) onpaar (noord);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Bidderstraat (Sint-Clarastraat - Annuntiatenstraat) onpaar (noord);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Bidderstraat (Sint-Gillisdorpstraat - Annuntiatenstraat) paar (zuid);20;13;0;1;14;0.7;0,928571429;0;0,071428571;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Bidderstraat totaal;34;19;0;2;21;0.617647058823529;0,904761905;0;0,095238095;;;28;13;0;4;17;0.607142857142857;0,764705882;0;0,235294118;;;;8/07/2016
aug/13;3;1;Calvariebergstraat (Baliestraat - J.&M. Sabbestraat) paar (oost);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Calvariebergstraat (J.&M. Sabbestraat - 's Gravenstraat) paar (oost);14;6;0;6;12;0.857142857142857;0,5;0;0,5;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Calvariebergstraat (Komvest - Walweinstraat) onpaar (west);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Calvariebergstraat ('s Gravenstraat - Komvest) paar (oost);8;5;0;3;8;1;0,625;0;0,375;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Calvariebergstraat (Walweinstraat - Sint-Claradreef) onpaar (west);46;18;0;11;29;0.630434782608696;0,620689655;0;0,379310345;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Calvariebergstraat totaal;68;29;0;20;49;0.720588235294118;0,591836735;0;0,408163265;;;66;20;1;15;36;0.545454545454545;0,555555556;0,027777778;0,416666667;;;;8/07/2016
aug/13;3;1;Collaert Mansionstraat (Annuntiatenstraat - Sint-Gilliskerkhof) onpaar (west);8;1;0;1;2;0.25;0,5;0;0,5;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Collaert Mansionstraat (Sint-Gilliskerkhof - Lange Raamstraat) onpaar (west);3;2;0;1;3;1;0,666666667;0;0,333333333;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Collaert Mansionstraat paar (oost);15;9;0;4;13;0.866666666666667;0,692307692;0;0,307692308;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Collaert Mansionstraat totaal;26;12;0;6;18;0.692307692307692;0,666666667;0;0,333333333;;;29;10;1;11;22;0.758620689655172;0,454545455;0,045454545;0,5;;;;8/07/2016
aug/13;3;1;Gouden Handrei;0;0;0;0;0;N;0;0;0;;;0;0;0;0;0;N;0;0;0;;;;8/07/2016
aug/13;3;1;Goudenhandstraat (Langerei - Torenbrug) paar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Goudenhandstraat (Oost-Gistelhof - Sint-Gilliskerkstraat) onpaar (noord);7;3;0;4;7;1;0,428571429;0;0,571428571;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Goudenhandstraat (Sint-Gilliskerkstraat - Langerei) onpaar (noord);9;3;0;1;4;0.444444444444444;0,75;0;0,25;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Goudenhandstraat (Torenbrug - Oost-Gistelhof) paar (zuid);3;0;0;1;1;0.333333333333333;0;0;1;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Goudenhandstraat totaal;19;6;0;6;12;0.631578947368421;0,5;0;0,5;;;22;3;1;10;14;0.636363636363636;0,214285714;0,071428571;0,714285714;;;;8/07/2016
aug/13;3;1;Hoedenmakersstraat (Augustijnenrei - Kleine Hoedenmakersstraat) paar (oost);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Hoedenmakersstraat (Kleine Hoedenmakersstraat - Noord-Gistelhof) paar (oost);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Hoedenmakersstraat (Maagdendal - Schrijversstraat) onpaar (west);7;5;0;4;9;128.571.428.571.429;0,555555556;0;0,444444444;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Hoedenmakersstraat (Schrijversstraat - Augustijnenrei) onpaar (west);8;3;2;3;8;1;0,375;0,25;0,375;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Hoedenmakersstraat totaal;15;8;2;7;17;113.333.333.333.333;0,470588235;0,117647059;0,411764706;;;13;7;0;5;12;0.923076923076923;0,583333333;0;0,416666667;;;;8/07/2016
aug/13;3;1;James Wealestraat noord onpaar;4;1;0;0;1;0.25;1;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;James Wealestraat noord paar;3;1;0;0;1;0.333333333333333;1;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;James Wealestraat west onpaar;7;3;0;0;3;0.428571428571429;1;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;James Wealestraat west paar;10;5;0;1;6;0.6;0,833333333;0;0,166666667;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;James Wealestraat zuid onpaar;6;3;0;1;4;0.666666666666667;0,75;0;0,25;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;James Wealestraat zuid paar;1;1;0;0;1;1;1;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;James Wealestraat totaal;31;14;0;2;16;0.516129032258065;0,875;0;0,125;;;32;10;0;1;11;0.34375;0,909090909;0;0,090909091;;;;8/07/2016
aug/13;3;1;Jan Miraelstraat onpaar (west);20;9;0;7;16;0.8;0,5625;0;0,4375;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Jan Miraelstraat paar (oost);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Jan Miraelstraat totaal;20;9;0;7;16;0.8;0,5625;0;0,4375;;;20;7;2;7;16;0.8;0,4375;0,125;0,4375;;;;8/07/2016
aug/13;3;1;Julius en Maurice Sabbestraat (Calvariebergstraat - Langerei) onpaar (west);25;15;0;5;20;0.8;0,75;0;0,25;inname OD voor private werken: verlies 1 pp;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Julius en Maurice Sabbestraat (Langerei - Stokersstraat) paar (oost);9;5;0;2;7;0.777777777777778;0,714285714;0;0,285714286;inname OD voor private werken: verlies 1 pp;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Julius en Maurice Sabbestraat (Stokersstraat - Calvariebergstraat) paar (oost);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Julius en Maurice Sabbestraat totaal;34;20;0;7;27;0.794117647058823;0,740740741;0;0,259259259;;;36;13;1;4;18;0.5;0,722222222;0,055555556;0,222222222;;;;8/07/2016
aug/13;3;1;Kapelstraat onpaar (noord);11;6;0;1;7;0.636363636363636;0,857142857;0;0,142857143;inname OD voor private werken: verlies 3 pp;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kapelstraat paar (zuid);9;3;0;2;5;0.555555555555556;0,6;0;0,4;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kapelstraat totaal;20;9;0;3;12;0.6;0,75;0;0,25;;;20;12;2;1;15;0.75;0,8;0,133333333;0,066666667;;;;8/07/2016
aug/13;3;1;Kipstraat noord;0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kipstraat zuid;0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kipstraat totaal;0;0;0;0;0;N;0;0;0;;;0;0;0;0;0;N;0;0;0;;;;8/07/2016
aug/13;3;1;Kleine Hoedenmakersstraat (Hoedenmakersstraat - West-Gistelhof) onpaar (noord);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kleine Hoedenmakersstraat (Noord-Gistelhof - West-Gistelhof) paar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kleine Hoedenmakersstraat (West-Gistelhof - Hoedenmakersstraat) paar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kleine Hoedenmakersstraat (West-Gistelhof - Noord-Gistelhof) onpaar (noord);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kleine Hoedenmakersstraat totaal;0;0;0;0;0;N;0;0;0;;;0;0;0;0;0;N;0;0;0;;;;8/07/2016
aug/13;3;1;Kleine Nieuwstraat onpaar (noord);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kleine Nieuwstraat paar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kleine Nieuwstraat totaal;0;0;0;0;0;N;0;0;0;;;0;0;0;0;0;N;0;0;0;;;;8/07/2016
aug/13;3;1;Komvest (brug - Sint-Claradreef) paar (zuid);54;5;5;20;30;0.555555555555556;0,166666667;0,166666667;0,666666667;inname OD voor private werken: verlies 4 pp;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Komvest (Sint-Claradreef - Vlamingdam) paar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Komvest (Walweinstraat - Calvariebegstraat) onpaar (noord);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Komvest (Walweinstraat - Calvariebegstraat) paar (zuid);10;4;0;5;9;0.9;0,444444444;0;0,555555556;inname OD voor private werken: verlies 2 pp;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Komvest (Willem de Dekenstraat - Sint-Claradreef) kant huizen (oost);8;2;0;1;3;0.375;0,666666667;0;0,333333333;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Komvest onpaar totaal;72;11;5;26;42;0.583333333333333;0,261904762;0,119047619;0,619047619;;;63;4;1;38;43;0.682539682539683;0,093023256;0,023255814;0,88372093;;;;8/07/2016
aug/13;3;1;Korte Raamstraat;2;1;0;0;1;0.5;1;0;0;;;0;3;0;0;3;N;1;0;0;;;;8/07/2016
aug/13;3;1;Kortewinkel onpaar (noord);13;7;0;7;14;107.692.307.692.308;0,5;0;0,5;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kortewinkel paar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Kortewinkel totaal;13;7;0;7;14;107.692.307.692.308;0,5;0;0,5;;;10;7;0;1;8;0.8;0,875;0;0,125;;;;8/07/2016
aug/13;3;1;Krom Genthof;9;5;0;5;10;111.111.111.111.111;0,5;0;0,5;inname OD voor private werken: verlies 4 pp;;9;0;0;0;0;0;0;0;0;;;;8/07/2016
aug/13;3;1;Lange Raamstraat (Baliestraat - Sint-Gilliskoorstraat) paar (noord);9;2;3;4;9;1;0,222222222;0,333333333;0,444444444;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Lange Raamstraat (Sint-Gillisdorpsstraat - Baliestraat) paar (noord);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Lange Raamstraat (Sint-Gilliskerkstraat - Korte Raamstraat) onpaar (zuid);17;6;2;3;11;0.647058823529412;0,545454545;0,181818182;0,272727273;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Lange Raamstraat (Sint-Gilliskoorstraat - Sint-Gilliskerkstraat) onpaar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;3;1;Lange Raamstraat totaal;26;8;5;7;20;0.769230769230769;0,4;0,25;0,35;;;33;8;7;13;28;0.848484848484849;0,285714286;0,25;0,464285714;;;;8/07/2016
aug/13;3;1;Maagdendal onpaar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
