DEELGEMEENTE;STRAAT;NUMMER;TYPE;LIGGING;MI_STYLE;MI_PRINX;latWGS84;loWGS84;Aangemaakt op
Centrum;SIMON STEVINPLEIN;BR409;L;op hoek met Mariastraat;Symbol (35, 0, 12);1017;51.2062927038728;3.22290258178529;30/10/2017
Sint-Kruis;;SK056;FL;aan speelplein;;334;51.2168188750681;3.24685150951805;30/10/2017
Zeebrugge;BARON DE MAERELAAN;ZB003;F;r.o. nr 30 op parking;Symbol (35, 0, 12);940;51.3286105801091;3.18401749267252;30/10/2017
Zeebrugge;VISMIJNSTRAAT;ZB144;ZD;thv nr 7;Symbol (35, 0, 12);593;51.3324454210046;3.20276013497845;30/10/2017
Sint-Kruis;MALEHOEKLAAN;SK081;F;aan bushalte op hoek met Brieversweg;;352;51.2125339910921;3.2795136518924;30/10/2017
Sint-Andries;HOGEWEG;SA109;F;op speelplein tegen spoorweg;Symbol (35, 0, 12);1209;51.2090942802924;3.18077929413077;30/10/2017
Sint-Kruis;SPRIETWEGESTRAAT;SK099;F;naast bank op speelplein;Symbol (35, 0, 12);1213;51.2062573765923;3.26361248207388;30/10/2017
Centrum;BEGIJNENVEST;BR174;L;langs fietspad tussen tunnel en station;Symbol (35, 0, 12);681;51.1997003624501;3.21790734887775;30/10/2017
Centrum;LANGESTRAAT;BR046;L;aan Molenbrug, kant Verwersdijk;Symbol (35, 0, 12);522;51.2098254484365;3.23122155880075;30/10/2017
Centrum;ARSENAALSTRAAT;BR299;L;op hoek met Noordstraat (op schooldomein academie);Symbol (35, 0, 12);988;51.2011830233842;3.22644259337282;30/10/2017
Centrum;KONING ALBERT I-LAAN;BR199;M;op benedenwandelpad aan banken;Symbol (35, 0, 12);703;51.2020185637668;3.2172433022089;30/10/2017
Zeebrugge;VEERBOOTSTRAAT;ZB125;X;4de straat links t.h.v. nr 35 (aan zitbank);;1612;51.3256910293682;3.19041068514412;30/10/2017
Sint-Michiels;BARRI?RESTRAAT;SM052;F;aan de bushalte links naast ingang psychiatrisch ziekenhuis;;1599;51.1947309742628;3.20984392452671;30/10/2017
Centrum;STATIONSPLEIN;BR300;L;aan Kiss&Ride-zone;Symbol (35, 0, 12);813;51.1981912923575;3.21919326293192;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM002;F;r.o. nr 46;;365;51.1901229185623;3.21214257568268;30/10/2017
Sint-Pieters;POELWEG;SP006;F;thv kruispunt met Goudenregenstraat;Symbol (35, 0, 12);419;51.2339186860795;3.20886908588793;30/10/2017
Zeebrugge;KUSTLAAN;ZB099;F;aan Zeegeulstraat (richting Blankenberge);Symbol (35, 0, 12);1172;51.3289336219386;3.19916543821196;30/10/2017
Centrum;GENTPOORTVEST;BR123;L;aan watertoren;Symbol (35, 0, 12);644;51.2012774648231;3.23251636196724;30/10/2017
Assebroek;DAVERLOSTRAAT;AS134;F;Daverlopark, aan skatepark tussen basketplein en grasveldje;;1721;51.1943663837457;3.24862262826578;30/10/2017
Sint-Andries;ALBERT SERREYNSTRAAT;SA171;F;"op parking in doorgang naar ""de platse""";;1804;51.1976390931728;3.18048319704877;30/10/2017
Centrum;SINCFALPARK;BR347;F;aan vijvertje;Symbol (35, 0, 12);1100;51.2195749464124;3.22450494085246;30/10/2017
;;;ZD;;;1734;51.195557664888;3.21630198007797;30/10/2017
Sint-Andries;LEGEWEG;SA176;F;park Les Acacia, aan ingang kant Legeweg;;1921;51.2045962562328;3.20319856402563;30/10/2017
Brugge;KUIPERSSTRAAT;BR003;La;t.h.v. Biekorf;Symbol (35, 0, 12);485;51.2097424971622;3.22310775334955;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM129;FL;aan gevel achterzijde gemeentehuis;;1715;51.1881802233315;3.2106819113821;30/10/2017
