frntype_sh;fietstrace;gemeente;lstrnm;rstrnm;lengte;wegcategor;beheer_shp;bff_datum_;ident8_opl;ident8_afl;latWGS84;loWGS84;Aangemaakt op
functionele fietsroute;31005_Moerkerkse Steenweg_10365;Brugge;Moerkerkse Steenweg;Moerkerkse Steenweg;57,00000000000000000;lokale weg type 1;Stad Brugge;20141231;;;51.2143197837952,51.2143197837952,51.2143197837952,51.2143197837952;3.24852047506805,3.24852047506805,3.24852047506805,3.24852047506805;23/06/2016
functionele fietsroute;31005_IJzerstraat_10313;Brugge;IJzerstraat;IJzerstraat;37,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;R0309021;;51.2206797365889,51.2206797365889,51.2206797365889,51.2206797365889,51.2206797365889,51.2206797365889,51.2206797365889,51.2206797365889,51.2206797365889,51.2206797365889;3.22053683650672,3.22053683650672,3.22053683650672,3.22053683650672,3.22053683650672,3.22053683650672,3.22053683650672,3.22053683650672,3.22053683650672,3.22053683650672;23/06/2016
functionele fietsroute;31005_Diksmuidse Heerweg_10286;Brugge;Diksmuidse Heerweg;Diksmuidse Heerweg;78,00000000000000000;lokale weg type 1;Stad Brugge;20141231;;;51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275,51.1697106130275;3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277,3.15651564787277;23/06/2016
functionele fietsroute;31042_Blankenbergse Steenweg_10746;Zuienkerke;Blankenbergse Steenweg;Blankenbergse Steenweg;14,00000000000000000;primaire weg II;AWV - District Brugge;20141231;;N3710002;51.2619131589623,51.2619131589623;3.18424692964732,3.18424692964732;23/06/2016
functionele fietsroute;31005_Oostendse Steenweg_10370;Brugge;Oostendse Steenweg;Oostendse Steenweg;25,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;N0090001;;51.2275520156215,51.2275520156215,51.2275520156215,51.2275520156215;3.19191794983421,3.19191794983421,3.19191794983421,3.19191794983421;23/06/2016
functionele fietsroute;31005_Kustlaan_10339;Brugge;Kustlaan;Kustlaan;35,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;;N0340002;51.3284438799236,51.3284438799236,51.3284438799236;3.19032345301737,3.19032345301737,3.19032345301737;23/06/2016
functionele fietsroute;31005_Maalse Steenweg_10352;Brugge;Maalse Steenweg;Maalse Steenweg;65,00000000000000000;secundaire weg type 1;AWV - District Brugge;20141231;N0090001;;51.2089752601482,51.2089752601482,51.2089752601482,51.2089752601482;3.26092513004465,3.26092513004465,3.26092513004465,3.26092513004465;23/06/2016
functionele fietsroute;31005_Dudzeelse Steenweg_10293;Brugge;Dudzeelse Steenweg;Dudzeelse Steenweg;59,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3760001;N3760002;51.2301106651381,51.2301106651381,51.2301106651381,51.2301106651381,51.2301106651381;3.22666428153527,3.22666428153527,3.22666428153527,3.22666428153527,3.22666428153527;23/06/2016
functionele fietsroute;31005_Scheepsdalelaan_10382;Brugge;Scheepsdalelaan;Scheepsdalelaan;5,00000000000000000;secundaire weg type 3;AWV - District Brugge;20141231;N0090001;N0090002;51.2182549396717,51.2182549396717;3.21059302306208,3.21059302306208;23/06/2016
functionele fietsroute;31005_Astridlaan_10254;Brugge;Astridlaan;Astridlaan;18,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3370001;N3370002;51.1934497360393,51.1934497360393;3.26789683705384,3.26789683705384;23/06/2016
functionele fietsroute;;Zuienkerke;;;30,00000000000000000;primaire weg II;AWV - District Brugge;20141231;;N3710002;51.2526182666348,51.2526182666348,51.2526182666348,51.2526182666348,51.2526182666348,51.2526182666348,51.2526182666348,51.2526182666348;3.19020070709544,3.19020070709544,3.19020070709544,3.19020070709544,3.19020070709544,3.19020070709544,3.19020070709544,3.19020070709544;23/06/2016
functionele fietsroute;31005_Blankenbergse Steenweg_10264;Brugge;Blankenbergse Steenweg;Blankenbergse Steenweg;1,00000000000000000;primaire weg II;AWV - District Brugge;20141231;N3710021;N3710022;51.2596107177267,51.2596107177267;3.18609158109116,3.18609158109116;23/06/2016
functionele fietsroute;31005_Heidelbergstraat_10308;Brugge;Heidelbergstraat;Heidelbergstraat;129,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;N3090001;N3090002;51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505,51.1734823406505;3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593,3.21822323494593;23/06/2016
functionele fietsroute;31005_Koning Albert I-laan_10328;Brugge;Koning Albert I-laan;Koning Albert I-laan;51,00000000000000000;primaire weg II;AWV - District Brugge;20141231;N3979261;N3979262;51.1981211559648,51.1981211559648,51.1981211559648;3.21382049529467,3.21382049529467,3.21382049529467;23/06/2016
functionele fietsroute;31005_Maalse Steenweg_10352;Brugge;Maalse Steenweg;Maalse Steenweg;19,00000000000000000;secundaire weg type 1;AWV - District Brugge;20141231;N0090001;;51.2090909043922,51.2090909043922;3.26001317177552,3.26001317177552;23/06/2016
functionele fietsroute;31005_Tragelweg_10448;Brugge;Tragelweg;Tragelweg;67,00000000000000000;lokale weg type 1;Stad Brugge;20141231;;;51.1822916748092,51.1822916748092,51.1822916748092,51.1822916748092,51.1822916748092,51.1822916748092,51.1822916748092,51.1822916748092;3.2319114971036,3.2319114971036,3.2319114971036,3.2319114971036,3.2319114971036,3.2319114971036,3.2319114971036,3.2319114971036;23/06/2016
functionele fietsroute;31005_Ter Doeststraat_10441;Brugge;Ter Doeststraat;Ter Doeststraat;1064,00000000000000000;lokale weg type 1;Stad Brugge;20141231;;;51.2845115168086,51.2845115168086,51.2845115168086,51.2845115168086,51.2845115168086;3.2074812703858,3.2074812703858,3.2074812703858,3.2074812703858,3.2074812703858;23/06/2016
functionele fietsroute;31005_Heidelbergstraat_10308;Brugge;Heidelbergstraat;Heidelbergstraat;462,00000000000000000;secundaire weg type 2;Stad Brugge;20141231;N3090001;N3090002;51.1708952517248,51.1708952517248,51.1708952517248,51.1708952517248,51.1708952517248,51.1708952517248,51.1708952517248,51.1708952517248;3.21393193100102,3.21393193100102,3.21393193100102,3.21393193100102,3.21393193100102,3.21393193100102,3.21393193100102,3.21393193100102;23/06/2016
functionele fietsroute;31005_Blankenbergse Steenweg_10261;Brugge;Blankenbergse Steenweg;Blankenbergse Steenweg;23,00000000000000000;primaire weg II;AWV - District Brugge;20141231;N3710001;;51.2605059733997,51.2605059733997,51.2605059733997,51.2605059733997;3.18541336319528,3.18541336319528,3.18541336319528,3.18541336319528;23/06/2016
