Id;Straat;School;Type;Aant_bord;Inplanting;Foto;Zone30;Datumplaat;Dgemeente;latWGS84;loWGS84;Aangemaakt op
62;Sint-Michielslaan;Gemeentelijke Basisschool Afdeling B;Octopus;1;Beplanting;foto/sint-michielslaan 2.PNG;ja;20050921;Sint-Michiels;51.1802963306574;3.22105349897862;15/09/2016
8;Korendragersstraat;Vrije Gesubs. Basisschool Parochie Sint-Jozef;Octopus;1;Wegversmalling, zebrapad;foto/korendragerstraat.PNG;ja;20050812;Sint-jozef;51.2260483588432;3.23359242399427;15/09/2016
96;Leopold Debruynestraat;Basisschool De Tandem;Octopus;1;Voetpad;foto/leopold debruynestraat.PNG;ja;20050831;Sint-Kruis;51.2106771323964;3.25255430139693;15/09/2016
100;Prins Leopoldstraat;Basisschool Sint-Kruis-De Beuken;Octopus;1;Gras;foto/prins leopoldstraat.PNG;ja;20050831;Sint-Kruis;51.2117897208619;3.24864212136782;15/09/2016
8;Sint-Jozefsstraat;Vrije Gesubs. Basisschool Parochie Sint-Jozef;Octopus;1;Voetpad;foto/sint-jozefstraat.PNG;ja;20050812;Sint-Jozef;51.225715001194;3.23290845292337;15/09/2016
49;Gistelse Steenweg;Vrije Gesubs. Basisschool Sint-Lodewijkscollege;Octopus;1;Voetpad;foto/gistelse steenweg.PNG;ja;20060401;Sint-Andries;51.2015799235463;3.20186820251717;15/09/2016
13;Oostendse Steenweg;Vrije Gesubs. Basisschool Sint-Leocollege Afdeling C;Octopus;2;Middenberm;foto/oostendse steenweg.PNG;ja;20060401;Sint-Pieters;51.2231303873558;3.20296606357671;15/09/2016
10;Blankenbergse Steenweg;Vrije Gesubs. Basisschool Sint-Leocollege Afdeling C;Octopus;2;Middenberm;foto/blankenbergse steenweg.PNG;ja;20060401;Sint-Pieters;51.2290607181698;3.20607919179321;15/09/2016
88;Beeweg;Vrije Gesubs. Basisschool Mariawende-Zonnetuin;Octopus;1;Voetpad;foto/beeweg.PNG;ja;20050831;Sint-kruis;51.2021908612334;3.2709949594233;15/09/2016
74;Baron Ruzettelaan;Vrije Gesubs. Basisschool OLVA Afdeling Steenbrugge;Octopus;1;Voetpad;foto/baron ruzettelaan.PNG;ja;20060401;Assebroek;51.1817097510586;3.23518296096233;15/09/2016
18;Sint-Lenardsstraat;Vrije Gesubs. Basisschool-De Lenaard;Octopus;1;voetpad;G:\WD\GIS wegendienst\Octopuspalen\foto\SintLenardsstraat.JPG;ja;20060401;Dudzele;51.2742972367351;3.22850777684564;15/09/2016
38;Magdalenastraat;Sint-Lodewijkscollege;Octopus;1;Beplanting;foto/magdalenastraat 2.PNG;ja;20060408;Sint-Andries;51.2018403693955;3.2113891595118;15/09/2016
87;Tulpenstraat;Vrij Instituut Buitengewoon Beroepsonderwijs-Haverlo;Octopus;2;Voetpad;foto/tulpenstraat.PNG;ja;20050825;Assebroek;51.1948113772389;3.24046971773033;15/09/2016
33;Knotwilgenlaan;Vrije Ges. Gem. Basisschool Sint-Lodewijkscollege-Blijmare;Octopus;1;Beplanting (plein);foto/knotwilgenlaan 1.PNG;ja;20060401;Sint-Andries;51.2073473513765;3.18331981492655;15/09/2016
40;Manitobalaan;Basisschool Sint-Andries-Manitoba;Octopus;1;Beplanting;foto/manitobalaan 2.PNG;ja;20050823;Sint-Andries;51.1959281879672;3.19858814935074;15/09/2016
15;Potentestraat;Vrije Gesubs. Basisschool Sint-Leocollege Afdeling B;Octopus;2;Voetpad;foto/potentestraat.PNG;ja;20060401;Sint-Pieters;51.2237159438721;3.20559047723692;15/09/2016
37;Magdalenastraat;Sint-Lodewijkscollege;Octopus;1;Beplanting;foto/magdalenastraat.PNG;ja;20060401;Sint-Andries;51.2009493461546;3.20832895396212;15/09/2016
83;Generaal Lemanlaan;Instituut Mariawende-Blydhove;Octopus;2;Parkeerplaats;foto/generaal lemanlaan.PNG;ja;20060401;Assebroek;51.2012439618669;3.24361048455905;15/09/2016
