Deelgemeente;Straat;Locatie;element;aantal;latWGS84;loWGS84;Aangemaakt op
Dudzele;Blauwe Toren;;draadbanken;23;51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221,51.2538965049221;3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355,3.19423750269355;22/06/2016
Sint-Kruis;Karel van Manderstraat;hoek Edestraat;banken met betonsokkel;2;51.2197442034797,51.2197442034797;3.24140945136998,3.24140945136998;22/06/2016
Sint-Andries;Gistelse Steenweg;antiekzaak;banken met betonsokkel;3;51.2039810036393,51.2039810036393,51.2039810036393;3.20911139080249,3.20911139080249,3.20911139080249;22/06/2016
Sint-Andries;Albert Dyserynckpark;In groenzone naar Abdijbekestraat;banken met betonsokkel;2;51.1960426554108,51.1960426554108;3.20202695187501,3.20202695187501;22/06/2016
Centrum;'t Zand;;banken type 't Zand (dubbel);16;51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768,51.205442805768;3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148,3.21698724684148;22/06/2016
Sint-Andries;Koude Keuken;plein aan toiletgebouw;banken met betonsokkel;3;51.2024657678985,51.2024657678985,51.2024657678985;3.17976006575698,3.17976006575698,3.17976006575698;22/06/2016
Assebroek;Daverlostraat;Albertpark;banken met betonsokkel;5;51.1978850218064,51.1978850218064,51.1978850218064,51.1978850218064,51.1978850218064;3.24081782951701,3.24081782951701,3.24081782951701,3.24081782951701,3.24081782951701;22/06/2016
Sint-Michiels;Ten Putte;bushokje;banken met betonsokkel;1;51.1736479346664;3.21659526237744;22/06/2016
Zwankendamme;Doornweg;thv kerk en bushalte;banken met betonsokkel;1;51.3099286545397;3.19758315787761;22/06/2016
Zeebrugge;Veerbootstraat;in wijk;banken met betonsokkel;0;51.3246042591511,51.3246042591511,51.3246042591511,51.3246042591511;3.18863223955263,3.18863223955263,3.18863223955263,3.18863223955263;22/06/2016
Sint-Andries;Hoog Brabantlaan;hoek Abdijbekestraat;banken met betonsokkel;2;51.1994799502034,51.1994799502034;3.2063918746907,3.2063918746907;22/06/2016
Centrum;Zilverstraat;ingang Zilverpand;draadbanken;2;51.2065117958461,51.2065117958461;3.22049734718539,3.22049734718539;22/06/2016
Assebroek;Pastoor Verhaegheplein;kerkhof;draadbanken;4;51.1887623444684,51.1887623444684,51.1887623444684,51.1887623444684;3.27508557416436,3.27508557416436,3.27508557416436,3.27508557416436;22/06/2016
Centrum;Kazernevest;;zwanehalsbank;20;51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522,51.2052914340522;3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747,3.23671504864747;22/06/2016
Sint-Kruis;Vijversdreef;nr 18;banken met betonsokkel;1;51.2104536737091;3.28024668041662;22/06/2016
Sint-Andries;Abdijbekepark;speelplein;banken met betonsokkel;2;51.1942506303889,51.1942506303889;3.199989502707,3.199989502707;22/06/2016
Zeebrugge;Sint-Donaasstraat;park;picknickbanken;3;51.3336487397207,51.3336487397207,51.3336487397207;3.20895472661079,3.20895472661079,3.20895472661079;22/06/2016
Sint-Kruis;Lopez Gallostraat;nr 9 en binnenplein;banken met betonsokkel;3;51.2134881514172,51.2134881514172,51.2134881514172;3.27178642378648,3.27178642378648,3.27178642378648;22/06/2016
Sint-Andries;Kerkhofstraat;kerkhof;draadbanken;2;51.1951928775627,51.1951928775627;3.17977564643064,3.17977564643064;22/06/2016
Centrum;Ganzenstraat;;zwanehalsbank;6;51.2091169678494,51.2091169678494,51.2091169678494,51.2091169678494,51.2091169678494,51.2091169678494;3.23479764004419,3.23479764004419,3.23479764004419,3.23479764004419,3.23479764004419,3.23479764004419;22/06/2016
Assebroek;Paalbos;trapveld en speelplein;banken met betonsokkel;4;51.2007412542944,51.2007412542944,51.2007412542944,51.2007412542944;3.27144964224296,3.27144964224296,3.27144964224296,3.27144964224296;22/06/2016
Sint-Pieters;Klippestraat;;banken met betonsokkel;2;51.2262862760604,51.2262862760604;3.19743350116892,3.19743350116892;22/06/2016
Sint-Andries;Bremlaan;hoek Gagelstraat;banken met betonsokkel;1;51.1915615000921;3.16562332142967;22/06/2016
Sint-Jozef;Ronsaardbekestraat;aan standbeeld van Georgske;zwanehalsbank;2;51.2254332868365,51.2254332868365;3.23175634166159,3.23175634166159;22/06/2016
Zeebrugge;Vissersstraat;hoek Vismijnstraat;banken met betonsokkel;1;51.3330511189787;3.20626517762246;22/06/2016
Sint-Kruis;Geralaan;hondenweide;banken met betonsokkel;2;51.2200394236893,51.2200394236893;3.24992403407287,3.24992403407287;22/06/2016
Sint-Andries;Refugewijk;op plein met speelplein;banken met betonsokkel;5;51.2035551694271,51.2035551694271,51.2035551694271,51.2035551694271,51.2035551694271;3.18821054200432,3.18821054200432,3.18821054200432,3.18821054200432,3.18821054200432;22/06/2016
Sint-Pieters;Papenplein;op plein;banken met betonsokkel;3;51.2279978860683,51.2279978860683,51.2279978860683;3.1977836446433,3.1977836446433,3.1977836446433;22/06/2016
Sint-Kruis;Veltemweg;in bos;banken met betonsokkel;2;51.2061301219816,51.2061301219816;3.25880986859284,3.25880986859284;22/06/2016
Dudzele;Sint-Lenardsstraat;thv kerkhof;draadbanken;2;51.2746446780204,51.2746446780204;3.22759033793983,3.22759033793983;22/06/2016
Sint-Pieters;Tempelhof;aan petanqueveld;banken met betonsokkel;5;51.2270679088178,51.2270679088178,51.2270679088178,51.2270679088178,51.2270679088178;3.20382925416006,3.20382925416006,3.20382925416006,3.20382925416006,3.20382925416006;22/06/2016
Centrum;Wevershof;;houten banken;2;51.2016490430411,51.2016490430411;3.2213124032361,3.2213124032361;22/06/2016
Centrum;Guido Gezelleplein;witte banken;zwanehalsbank;7;51.2052113549494,51.2052113549494,51.2052113549494,51.2052113549494,51.2052113549494,51.2052113549494,51.2052113549494;3.22406203784873,3.22406203784873,3.22406203784873,3.22406203784873,3.22406203784873,3.22406203784873,3.22406203784873;22/06/2016
Dudzele;Krekenstraat;speelplein;banken met betonsokkel;1;51.2730192855818;3.22595267373158;22/06/2016
Sint-Pieters;Slachthuisstraat;;banken met betonsokkel;1;51.2223751425427;3.21002345333685;22/06/2016
Sint-Kruis;Blauwkasteelweg;petanqueveld achter huisbewaardersw;banken met betonsokkel;10;51.2169400995123,51.2169400995123,51.2169400995123,51.2169400995123,51.2169400995123,51.2169400995123,51.2169400995123,51.2169400995123,51.2169400995123,51.2169400995123;3.24472845662829,3.24472845662829,3.24472845662829,3.24472845662829,3.24472845662829,3.24472845662829,3.24472845662829,3.24472845662829,3.24472845662829,3.24472845662829;22/06/2016
Sint-Kruis;Ter Heide;binnenplein;banken met betonsokkel;4;51.2036990479148,51.2036990479148,51.2036990479148,51.2036990479148;3.26900047464921,3.26900047464921,3.26900047464921,3.26900047464921;22/06/2016
Sint-Michiels;Rietlaan;thv nr 46;banken met betonsokkel;0;51.1748180856767;3.21501965383702;22/06/2016
Assebroek;Groenewijk;op plein;banken met betonsokkel;5;51.1876173979604,51.1876173979604,51.1876173979604,51.1876173979604,51.1876173979604;3.27834682807222,3.27834682807222,3.27834682807222,3.27834682807222,3.27834682807222;22/06/2016
Sint-Pieters;Blankenbergse Dijk;aan parking Sint-Pietersplas;banken met betonsokkel;4;51.2339913004769,51.2339913004769,51.2339913004769,51.2339913004769;3.19788605103907,3.19788605103907,3.19788605103907,3.19788605103907;22/06/2016
Sint-Kruis;Dekenstraat;speelplein hoek Maleveld;banken met betonsokkel;3;51.2162490694249,51.2162490694249,51.2162490694249;3.27861689507806,3.27861689507806,3.27861689507806;22/06/2016
Sint-Andries;Kerkhofstraat;Rustoord Fabiola;banken met betonsokkel;1;51.1957925141321;3.18190171126252;22/06/2016
Centrum;Oude Zak;park Sebrechts;zwanehalsbank;11;51.2095986054038,51.2095986054038,51.2095986054038,51.2095986054038,51.2095986054038,51.2095986054038,51.2095986054038,51.2095986054038,51.2095986054038,51.2095986054038,51.2095986054038;3.21724074121722,3.21724074121722,3.21724074121722,3.21724074121722,3.21724074121722,3.21724074121722,3.21724074121722,3.21724074121722,3.21724074121722,3.21724074121722,3.21724074121722;22/06/2016
Sint-Michiels;Stokveldewijk;thv nr 25C;banken met betonsokkel;2;51.1739981858044,51.1739981858044;3.21128650661948,3.21128650661948;22/06/2016
Sint-Kruis;Veltemweg;verbinding tss Maalse Stwg en Velte;banken met betonsokkel;1;51.2086876266791;3.25707573843014;22/06/2016
Centrum;Baron Ruzettepark;;bank met arduinen sokkel;2;51.220533505016,51.220533505016;3.22237034547471,3.22237034547471;22/06/2016
Assebroek;Opkensstraat;petanquevelden;banken met betonsokkel;5;51.2030236154271,51.2030236154271,51.2030236154271,51.2030236154271,51.2030236154271;3.26590816361922,3.26590816361922,3.26590816361922,3.26590816361922,3.26590816361922;22/06/2016
Centrum;Simon Stevinplein;;draadbanken;13;51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432,51.2066236658432;3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894,3.2225921373894;22/06/2016
Centrum;Genthof;;draadbanken;1;51.2129929565387;3.22789150896405;22/06/2016
Sint-Michiels;Park de Rode Poort;rosarium;banken met betonsokkel;4;51.1775923478653,51.1775923478653,51.1775923478653,51.1775923478653,51.1775923478653;3.21015574748752,3.21015574748752,3.21015574748752,3.21015574748752,3.21015574748752;22/06/2016
Centrum;Komvest;;zwanehalsbank;0;51.2196976784289,51.2196976784289,51.2196976784289,51.2196976784289;3.22245916080001,3.22245916080001,3.22245916080001,3.22245916080001;22/06/2016
Centrum;Willemijnenplantsoen;paadje naast hulst;zitsteen;3;51.2042564926378,51.2042564926378,51.2042564926378;3.23283859986502,3.23283859986502,3.23283859986502;22/06/2016
Assebroek;Kerkhofblommestraat;Centrale Begraafplaats;draadbanken;12;51.1929131201369,51.1929131201369,51.1929131201369,51.1929131201369,51.1929131201369,51.1929131201369,51.1929131201369,51.1929131201369,51.1929131201369,51.1929131201369,51.1929131201369,51.1929131201369;3.23689351132166,3.23689351132166,3.23689351132166,3.23689351132166,3.23689351132166,3.23689351132166,3.23689351132166,3.23689351132166,3.23689351132166,3.23689351132166,3.23689351132166,3.23689351132166;22/06/2016
Zeebrugge;Kustlaan;van oud tot nieuw sas;banken met betonsokkel;5;51.3289924210126,51.3289924210126,51.3289924210126,51.3289924210126,51.3289924210126;3.19972255951686,3.19972255951686,3.19972255951686,3.19972255951686,3.19972255951686;22/06/2016
Sint-Andries;Hogeweg;Pannenhuis;banken met betonsokkel;1;51.2034743061334;3.20554344667753;22/06/2016
Assebroek;Daverlostraat;regiepost;banken met betonsokkel;1;51.1948409077908;3.24680615387706;22/06/2016
Centrum;Willemijnenplantsoen;;banken met betonsokkel;7;51.2044009460495,51.2044009460495,51.2044009460495,51.2044009460495,51.2044009460495,51.2044009460495,51.2044009460495;3.23243478127532,3.23243478127532,3.23243478127532,3.23243478127532,3.23243478127532,3.23243478127532,3.23243478127532;22/06/2016
Lissewege;Oude Pastoriestraat;hoek met Dwarsweg;banken met betonsokkel;1;51.293348152354;3.20332302967638;22/06/2016
Sint-Michiels;Leiselestraat;kerkhof;draadbanken;2;51.1887038231041,51.1887038231041;3.21539753132932,3.21539753132932;22/06/2016
Lissewege;Pol Dhondtstraat;thv nr 14;banken met betonsokkel;3;51.295116377827,51.295116377827,51.295116377827;3.19485783802544,3.19485783802544,3.19485783802544;22/06/2016
Sint-Kruis;Malehoeklaan;huisnr 1 en aan Raadsherenlaan;banken met betonsokkel;2;51.2127911731221,51.2127911731221;3.27975672589592,3.27975672589592;22/06/2016
Christus-Koning;Maria van Bourgondiëlaan;aan water;zwanehalsbank;2;51.2165929430454,51.2165929430454;3.20240612699479,3.20240612699479;22/06/2016
Assebroek;Rozenstraat;petanqueplein;banken met betonsokkel;2;51.1940340153492,51.1940340153492;3.23752843644637,3.23752843644637;22/06/2016
Centrum;Sint-Amandsstraat;;draadbanken 1/2 cirkel 6 elem.;0;51.2084569392596;3.22306736410779;22/06/2016
Sint-Andries;Heidelaan;einde pijpekop;banken met betonsokkel;1;51.1921491230749;3.1638100275277;22/06/2016
Christus-Koning;Scheepsdalelaan;;draadbanken;2;51.2165158459902,51.2165158459902;3.21391841896199,3.21391841896199;22/06/2016
Sint-Andries;Edgard De Smedtplantsoen;zandbak en ping-pong;banken met betonsokkel;4;51.2021858151396,51.2021858151396,51.2021858151396,51.2021858151396;3.20791824728512,3.20791824728512,3.20791824728512,3.20791824728512;22/06/2016
Centrum;Zilverpand;;draadbanken;1;51.2061766875002;3.22023809852589;22/06/2016
Sint-Michiels;Stokveldewijk;thv Stokveldelaan nr 50;banken met betonsokkel;1;51.1717693605604;3.21385987293119;22/06/2016
Centrum;Oude Zak;Park Sebrechts;picknick banken;3;51.2096627116729,51.2096627116729,51.2096627116729;3.21763581842935,3.21763581842935,3.21763581842935;22/06/2016
Centrum;Rijkepijndersstraat;hoek Carmersstraat;zwanehalsbank;1;51.2137962468961;3.23152329137814;22/06/2016
Sint-Andries;Knotwilgenlaan;speelplein aan petanque;picknickbank;1;51.2076846276726;3.17704612561448;22/06/2016
Sint-Michiels;Sint-Godelievelaan;thv huisnr 30 en 32;banken met betonsokkel;2;51.1769524211938,51.1769524211938;3.21903213235241,3.21903213235241;22/06/2016
Centrum;Brunoplein;;picknickbanken;2;51.2091942163182,51.2091942163182;3.23947996485238,3.23947996485238;22/06/2016
Sint-Michiels;Binnenhof;hoek 't Groeneveld;bank met arduinen sokkel;1;51.1783671040365;3.21828747985625;22/06/2016
Assebroek;A. J. Witteryckstraat;in straat, tussen bloembakken;banken met betonsokkel;2;51.1861983442686,51.1861983442686;3.23697700847048,3.23697700847048;22/06/2016
Sint-Kruis;Babbaertstraat;petanqueveld;banken met betonsokkel;2;51.2161662944604,51.2161662944604;3.27066987025966,3.27066987025966;22/06/2016
Sint-Kruis;Babbaertstraat;speelplein;banken met betonsokkel;2;51.2159307478504,51.2159307478504;3.27113670232028,3.27113670232028;22/06/2016
Sint-Michiels;Park de Rode Poort;speelplein;metalen banken;2;51.1768696106233,51.1768696106233;3.20995981820196,3.20995981820196;22/06/2016
Centrum;Begijnenvest;;zwanehalsbank;31;51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431,51.1990929906431;3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326,3.22063559453326;22/06/2016
Lissewege;Beukemarestraat;hoek Lisseweegsesteenweg;banken met betonsokkel;1;51.3030340517456;3.19808561491844;22/06/2016
Sint-Andries;Nieuwe Sint-Annadreef;kant Doornstraat;banken met betonsokkel;1;51.1882387221661;3.17439465806738;22/06/2016
Assebroek;Vinkenplein;petanqueplein;tafelbanken;1;51.204575489825;3.24976717395809;22/06/2016
Assebroek;Canadaring;kinderboerderij;tafelbanken;4;51.1891950156775,51.1891950156775,51.1891950156775,51.1891950156775;3.24449286527117,3.24449286527117,3.24449286527117,3.24449286527117;22/06/2016
Centrum;Baron Ruzettepark;;smeedijzeren banken (oud type);2;51.2205865501997,51.2205865501997;3.22306105071386,3.22306105071386;22/06/2016
Sint-Michiels;Veeweide;thv nr 48;banken met betonsokkel;1;51.1741407830991;3.21437271866091;22/06/2016
Sint-Jozef;Pannebekestraat;voor speelplein;zwanehalsbank;2;51.2270570287953,51.2270570287953;3.23177766779221,3.23177766779221;22/06/2016
Centrum;Bilkske;speelplein thv Langestraat;zwanehalsbank;1;51.2096986005023;3.23490711567551;22/06/2016
Christus-Koning;Scheepsdalelaan;;draadbanken;5;51.2160834831081,51.2160834831081,51.2160834831081,51.2160834831081,51.2160834831081;3.21390697860181,3.21390697860181,3.21390697860181,3.21390697860181,3.21390697860181;22/06/2016
Sint-Michiels;Leiselestraat;ingang kerkhof;banken met betonsokkel;1;51.1878383969655;3.21482881106942;22/06/2016
Lissewege;Zeebruggelaan;"aan school ""de lisdodde""";draadbanken;2;51.2938729460311,51.2938729460311;3.1920520780025,3.1920520780025;22/06/2016
Centrum;Hauwerstraat;aan petanqueplein;zwanehalsbank;2;51.2040022917507,51.2040022917507;3.2149604201339,3.2149604201339;22/06/2016
Sint-Andries;Molenijzer;thv nr 29;banken met betonsokkel;2;51.187416969082,51.187416969082;3.18059329090766,3.18059329090766;22/06/2016
Centrum;Smedenstraat;;draadbanken 1/2 cirkel 6 elem.;1;51.2053137478941;3.21456642392564;22/06/2016
Lissewege;Pluvierstraat;pleintje;banken met betonsokkel;1;51.293885586258;3.18994287754357;22/06/2016
Centrum;Bilkske;aan pleintje tegenaan vesten;zwanehalsbank;2;51.207755102967,51.207755102967;3.23901299316211,3.23901299316211;22/06/2016
Sint-Andries;Beisbroek;hertenweide;banken met betonsokkel met tafel;10;51.1760512233884,51.1760512233884,51.1760512233884,51.1760512233884,51.1760512233884,51.1760512233884,51.1760512233884,51.1760512233884,51.1760512233884,51.1760512233884;3.15792024166995,3.15792024166995,3.15792024166995,3.15792024166995,3.15792024166995,3.15792024166995,3.15792024166995,3.15792024166995,3.15792024166995,3.15792024166995;22/06/2016
Zeebrugge;Tijdokstraat;aan pleintje op hoek Zeelaan;banken met betonsokkel;3;51.3296210480148,51.3296210480148,51.3296210480148;3.20307505507329,3.20307505507329,3.20307505507329;22/06/2016
Sint-Pieters;Sint-Pieterskerklaan;eind van de weg aan bushalte;banken met betonsokkel;1;51.2344814358019;3.21320590163165;22/06/2016
Centrum;Buiten Smedenvest;;houten banken;1;51.2054729570251;3.21176582661846;22/06/2016
Sint-Michiels;Kerkebeekpad;speelgaard;kunststof bank;1;51.1874053833836;3.21368329598879;22/06/2016
Sint-Pieters;Poelweg;r.o. nr 48;stenen banken;2;51.2336604151349,51.2336604151349;3.20912100983924,3.20912100983924;22/06/2016
Zeebrugge;Omookaai;;;3;51.3323740586373,51.3323740586373,51.3323740586373;3.19880890140225,3.19880890140225,3.19880890140225;22/06/2016
Centrum;Katelijnevest;langs vest;zwanehalsbank;2;51.1986202001404,51.1986202001404;3.22446346958147,3.22446346958147;22/06/2016
Sint-Andries;Legeweg;rondpunt Sint-Hubertuslaan;banken met betonsokkel;1;51.2066794355762;3.18449905217841;22/06/2016
Sint-Andries;Lange Molenstraat;midden ingang veld 6;banken met betonsokkel;1;51.1925120306836;3.17640069061532;22/06/2016
Sint-Jozef;Lobrechtstraat;op speelplein;banken met betonsokkel;2;51.2292347342985,51.2292347342985;3.2417356262803,3.2417356262803;22/06/2016
Centrum;Arsenaalstraat;;draadbanken;4;51.2014086950245,51.2014086950245,51.2014086950245,51.2014086950245;3.22665104351097,3.22665104351097,3.22665104351097,3.22665104351097;22/06/2016
Sint-Andries;Koude Keuken;schietpers;banken met betonsokkel;1;51.2046089671178;3.17922951756626;22/06/2016
Assebroek;Jacobus Roelofstraat;aan petanqueveld;banken met betonsokkel;3;51.190371308867,51.190371308867,51.190371308867;3.27376066998133,3.27376066998133,3.27376066998133;22/06/2016
Sint-Andries;Diksmuidse Heerweg;plein hoek Manitobalaan;banken met betonsokkel;4;51.1982620500469;3.19794127918969;22/06/2016
Centrum;Rolweg;museum;bank met arduinen sokkel;4;51.2144373805924,51.2144373805924,51.2144373805924,51.2144373805924;3.23686955116558,3.23686955116558,3.23686955116558,3.23686955116558;22/06/2016
Sint-Pieters;Eriestraat;hoek Laconiastraat;banken met betonsokkel;1;51.2306060947255;3.21141001244216;22/06/2016
Sint-andries;Beisbroek;in bos;banken met betonsokkel;25;51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509,51.1756423942509;3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622,3.15039049137622;22/06/2016
Sint-Pieters;Sint-Pietersstatiedreef;thv nr 13, 22, 40, 44;zwanehalsbank;10;51.2202488269468,51.2202488269468,51.2202488269468,51.2202488269468,51.2202488269468,51.2202488269468,51.2202488269468,51.2202488269468,51.2202488269468,51.2202488269468;3.20143633856326,3.20143633856326,3.20143633856326,3.20143633856326,3.20143633856326,3.20143633856326,3.20143633856326,3.20143633856326,3.20143633856326,3.20143633856326;22/06/2016
Christus-Koning;filips de Goedelaan;;zwanehalsbank;4;51.2126498915826,51.2126498915826,51.2126498915826,51.2126498915826;3.21367830337023,3.21367830337023,3.21367830337023,3.21367830337023;22/06/2016
Sint-Kruis;Zoete Inval;op speelplein;banken met betonsokkel;2;51.2117664838393,51.2117664838393;3.2465025120642,3.2465025120642;22/06/2016
Assebroek;Tulpenstraat;op speelplein;banken met betonsokkel;1;51.1951897895178;3.2386605206265;22/06/2016
Sint-Pieters;Steenkaai;park;banken met betonsokkel;6;51.2181076816663;3.20488889176433;22/06/2016
Sint-Jozef;Louis de Potterstraat;bocht tss nr 23-25, to nr 6, nr 47;zwanehalsbank;7;51.2254912974284,51.2254912974284,51.2254912974284,51.2254912974284,51.2254912974284,51.2254912974284,51.2254912974284;3.23683940775298,3.23683940775298,3.23683940775298,3.23683940775298,3.23683940775298,3.23683940775298,3.23683940775298;22/06/2016
Centrum;Dijver;;zwanehalsbank;1;51.2064903643185;3.22666134652394;22/06/2016
Sint-Michiels;Sint-Michielslaan;bushokje dr. Van Mol;banken met betonsokkel;1;51.1797408592055;3.21299343000307;22/06/2016
Assebroek;'t Leitje;op speelplein;banken met betonsokkel;2;51.1882922801851,51.1882922801851;3.27212949269843,3.27212949269843;22/06/2016
Sint-Andries;Heideroosstraat;speelplein;banken met betonsokkel;2;51.1825209774854,51.1825209774854;3.17486728868147,3.17486728868147;22/06/2016
Sint-Andries;Peter Benoitlaan;;;0;51.2090804310852,51.2090804310852,51.2090804310852,51.2090804310852;3.20726890029394,3.20726890029394,3.20726890029394,3.20726890029394;22/06/2016
Centrum;Stoelstraat;rond plein;draadbanken;3;51.2120354532623,51.2120354532623,51.2120354532623;3.23593888900968,3.23593888900968,3.23593888900968;22/06/2016
Sint-Jozef;Gandhiplein;op plein;speciale banken;5;51.2304912288287,51.2304912288287,51.2304912288287,51.2304912288287,51.2304912288287;3.23400851789722,3.23400851789722,3.23400851789722,3.23400851789722,3.23400851789722;22/06/2016
Sint-Andries;Knotwilgenlaan;plein thv nr 35;banken met betonsokkel;1;51.2067353671804;3.18037076079145;22/06/2016
Centrum;Langerei;nr 24-26 en aan bushalte thv Wulpen;zwanehalsbank;3;51.2157139453578,51.2157139453578,51.2157139453578;3.22885457547727,3.22885457547727,3.22885457547727;22/06/2016
Koolkerke;Hemelbeekstraat;speelplein;banken met betonsokkel;1;51.2406163931136;3.24632513541443;22/06/2016
Assebroek;Gaston Roelandtsplein;rond boom;houten bank;1;51.2008368484701;3.24632262023144;22/06/2016
Assebroek;Schijfstraat;speelplein;banken met betonsokkel;1;51.1899582430967;3.23485914517355;22/06/2016
Sint-Michiels;Rietlaan;hoek Ten Putte;banken met betonsokkel;1;51.1740855768217;3.216790939197;22/06/2016
Sint-Pieters;Handboogstraat;Park ter Poele;banken met betonsokkel;15;51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303,51.2279784080303;3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002,3.2092198220002;22/06/2016
Sint-Michiels;Dorotheastraat;pleintje;draadbanken;2;51.1931928724463,51.1931928724463;3.20636584536898,3.20636584536898;22/06/2016
Centrum;Dijver;Groeningemuseum;zwanehalsbank;1;51.2053416102333;3.22602719385762;22/06/2016
Centrum;Boninvest;;zwanehalsbank;5;51.2034892300011,51.2034892300011,51.2034892300011,51.2034892300011,51.2034892300011;3.23536418908915,3.23536418908915,3.23536418908915,3.23536418908915,3.23536418908915;22/06/2016
Centrum;Buiten de Smedenpoort;;zwanehalsbank;2;51.206456521852,51.206456521852;3.21149792735345,3.21149792735345;22/06/2016
Sint-Andries;Tudor;kruidentuin;picknickbanken;5;51.1685521616521,51.1685521616521,51.1685521616521,51.1685521616521,51.1685521616521;3.16780685686661,3.16780685686661,3.16780685686661,3.16780685686661,3.16780685686661;22/06/2016
