Deelgemeente;Straat;Locatie;element;aantal;latWGS84;loWGS84;Aangemaakt op
Sint-Pieters;Blankenbergse Dijk;domein Sint-Pietersplas;banken met betonsokkel;21;51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485,51.2301980825485;3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328,3.19201397167328;22/06/2016
Sint-Michiels;Tillegemstraat;rondpt Koning Albert I-Laan;banken met betonsokkel;1;51.181708259234;3.2050439424013;22/06/2016
Sint-Andries;Doornstraat;speelplein watertoren;banken met betonsokkel;2;51.1935345006556,51.1935345006556;3.18972363102817,3.18972363102817;22/06/2016
Sint-Andries;Zandstraat;hoek Korte Molenstraat;banken met betonsokkel;1;51.1993736518253;3.17341247683123;22/06/2016
;;;;0;51.2122250065112;3.23395273448439;22/06/2016
Zeebrugge;Rederskaai;;;2;51.3352788255013,51.3352788255013;3.20820928289002,3.20820928289002;22/06/2016
Sint-Pieters;Tempelhof;aan parking;banken met betonsokkel;1;51.2258413871866;3.20437110828813;22/06/2016
Sint-Andries;Koude Keuken;plein aan schietpers;banken met betonsokkel;2;51.2040847009209,51.2040847009209;3.17837770665085,3.17837770665085;22/06/2016
Sint-Michiels;Kerkebeekpad;petanque;banken met betonsokkel;2;51.1868342621887,51.1868342621887;3.21394083753898,3.21394083753898;22/06/2016
Assebroek;Pastoor Verhaegheplein;dreef kerkhof;banken met betonsokkel;3;51.1881719394208,51.1881719394208,51.1881719394208;3.27540182983579,3.27540182983579,3.27540182983579;22/06/2016
Sint-Andries;Zandstraat;Pannenhuis;banken met betonsokkel;2;51.2032802566184,51.2032802566184;3.20525497938519,3.20525497938519;22/06/2016
Christus-Koning;Ezelpoort;;zwanehalsbank;4;51.2155537749635,51.2155537749635,51.2155537749635,51.2155537749635;3.21532056674614,3.21532056674614,3.21532056674614,3.21532056674614;22/06/2016
Sint-Jozef;Merelstraat;plein thv oude van dagen;banken met betonsokkel;2;51.2312461962314,51.2312461962314;3.23008633613351,3.23008633613351;22/06/2016
