MEETPUNT_ID;X;Y;HERKENNINGSPUNT1;HERKENNINGSPUNT2;latWGS84;loWGS84;Aangemaakt op
1585;66500;226000;Westdam 700m   300m loodrecht op dam;;51.3377352368312;3.17054640922883;22/06/2016
1461;69000;221150;"Boudewijnkanaal (jaagpad) café ""den overzet""";;51.2945062875514;3.20750261487227;22/06/2016
1413;72700;218500;Damse steenweg;Ronselarestraat;51.2711978585253;3.26110445395706;22/06/2016
1147;70500;210500;Baron Ruzettelaan;Vestingstraat;51.1990006117742;3.23134150889522;22/06/2016
1621;66850;228000;Westdam  vanaf St.-George's day-wandeling 2750m;;51.3557599721473;3.17510684191172;22/06/2016
1415;67600;219600;Patentestraat;Groot ter Doest;51.2803777212089;3.18778650743641;22/06/2016
1430;68100;219500;Zeelaan  van Stationsweg 1250m richting Zeebrugge;;51.2795499218082;3.19497473897786;22/06/2016
1135;65000;210650;Legeweg  grens met Varsenare;;51.1995650182254;3.15263058114476;22/06/2016
1346;71150;215550;Ronselarestraat;Arendstraat;51.2444756675641;3.23954126343925;22/06/2016
1577;66500;225500;Westdam 250m  500m loodrecht op dam;;51.3332425612861;3.17066208734904;22/06/2016
1233;67550;212600;Steenkaai -- zijweg oost Expresweg N 31;;51.2174602220105;3.18866506045629;22/06/2016
1075;72700;208700;Michel van Hammestraat;Binnenweg van Beernem²;51.1831216919089;3.2631939003544;22/06/2016
1165;69000;211150;Gistelse steenweg;Lange Vesting;51.2046337984045;3.20973898059047;22/06/2016
1507;72000;222000;Alfred Ronsestraat;Aziëstraat;51.3025581715464;3.25032069517795;22/06/2016
1045;65550;208050;Zeeweg  Mariagrot (Sint-Anna in de Woestijn);;51.1762796305776;3.16110195466404;22/06/2016
1173;73050;211000;Ter Heide;Paalbos;51.2038400376545;3.2677132572012;22/06/2016
1495;71800;221500;Alfred Ronsestraat  in bijstraat 350m zuid-west;;51.2980382700162;3.24756234201447;22/06/2016
1019;65300;207000;Diksmuidse Heerweg   400m ZW vanaf De Watermolen;;51.1668064519169;3.15777283082474;22/06/2016
1163;68200;211000;Zandstraat;Noordveldstraat;51.2031736478795;3.19832719016848;22/06/2016
1489;68800;221500;Boudewijnkanaal jaagpad west 300m N vanaf overzet;;51.2976235578618;3.20455614593735;22/06/2016
1368;71600;216500;Koolkerkse wegel  100m richting N van Ronselarestraat;;51.2530744037288;3.24577774447533;22/06/2016
1186;68050;211550;Kasteelhoevestraat  pijpekop oost;;51.2080948444499;3.19605632555323;22/06/2016
1540;70300;223500;Alfred Ronsestraat  kade 532 noordpunt;;51.3158063135086;3.22561799177824;22/06/2016
1083;67600;209100;Pierre Deboutstraat;Torhoutse steenweg;51.18601213912;3.19017360778869;22/06/2016
1156;64550;211100;Hogeweg (Varsenare);De Manlaan (Varsenare);51.2035431636601;3.14608702567869;22/06/2016
1287;74250;213650;Aardenburgseweg;Pijpeweg;51.22781453638;3.28432641958719;22/06/2016
1318;71500;214500;Zwanestuk   de zuid-westekijke hoek-pijpekop;;51.2350868448988;3.24478027120785;22/06/2016
1100;66500;209500;Nieuwe Sint-Annadreef;Karel Custisstraat;51.1894493191198;3.17435262028946;22/06/2016
1424;72100;219050;Zwiersweg -- Damse steenweg (deel richting zuidoost);;51.2760595424832;3.2523904277305;22/06/2016
1240;71000;212500;Buitenkruisvest  ter hoogte van Snagaardstraat;;51.2170433948025;3.23805738175907;22/06/2016
1183;66550;211500;Eikenlaan;Iepenlaan;51.2074305619991;3.17460633697232;22/06/2016
1634;68950;228500;Oostdam 1000m (noord-west) vanaf gasterminal;;51.3605520406898;3.20513542678671;22/06/2016
1604;67250;227050;Albert II plein   Albert II dok  midden kade 126;;51.3472794471902;3.18106438166332;22/06/2016
1632;67950;228700;Oostdam  oost vuurtoren;;51.362208396846;3.19073586839259;22/06/2016
1458;67600;220750;Canadzeznstraat;Stormvogelstraat;51.2907129831145;3.18752447013371;22/06/2016
1591;69500;226000;Paul Jean Claysstraat  NW hoek parking Hermeskaai;;51.3381622661134;3.21358754450918;22/06/2016
1565;70400;224500;Verb-dok -- Alfred Ronsestraat  900m vanaf Isabellal.;;51.3248068134201;3.22683214973158;22/06/2016
1427;66900;219850;Assestraat;spoorweg + grens Blankenberge;51.2825236813112;3.17769840990174;22/06/2016
1464;70600;220500;Margareta van Oostenrijkstraat zuidpunt spoorbundel;;51.2888863142955;3.23057905115866;22/06/2016
1448;70150;220050;"(""havenrandweg noord"") noordwestelijk einde";;51.2847808693021;3.22422833741675;22/06/2016
1399;71600;218000;Waterhofstedestraat  500m van Kruisabelestraat;;51.2665553839844;3.24545291926173;22/06/2016
1523;67500;223000;Koggestraat 200m van Baron de Maerelaan;;51.3109195754493;3.18557888004602;22/06/2016
1322;66350;215200;Zuienkerkestraat  grens met Zuienkerke;;51.2406545265024;3.17089210218933;22/06/2016
1281;71050;213550;Lois De Potterstraat;Leon De Fourstraat;51.2264868184846;3.238544563235;22/06/2016
1514;68600;222650;Boudewijnkanaal jaagpad--Verbindingsdok zuidpunt;;51.3079294238365;3.20143093844994;22/06/2016
