Functie;Objectnaam;HMpunt;KadeNR;Naam_locatie;Naam_waterweg;LatWGS84;LoWGS84;latWGS84;loWGS84;Aangemaakt op
Km-punt op as waterweg;Geul West - ZP1 km 1.5;1,5;;Zeebrugge;Geul West - ZP1;51,3447320;3,198933;51.3447319994165;3.19893300051543;06/07/2016
Ligplaats met overslag;Ligplaats 703;-99,9;703;Zeebrugge;Pierre Vandammesluis - CDNB;51,3394130;3,207456;51.3394129997974;3.20745600051936;06/07/2016
Km-punt op as waterweg;Klein Handelsdok km 0.2;0,2;;Brugge;Klein Handelsdok;51,2296820;3,224623;51.2296819994652;3.22462300030678;06/07/2016
Km-punt op as waterweg;Brittaniadok km 0.5;0,5;;Zeebrugge;Brittaniadok;51,3433330;3,216639;51.3433329996748;3.21663900112526;06/07/2016
Ligplaats met overslag;Ligplaats 141;-99,9;141;Zeebrugge;Wielingendok;51,3545090;3,179567;51.3545090001979;3.17956700054523;06/07/2016
Terminal;ICO RoRo Noordelijk Insteekdok;-99,9;;Zeebrugge;Noordelijk Insteekdok;51,3193400;3,211327;51.3193399993592;3.21132700053662;06/07/2016
Ligplaats zonder overslag;Ligplaats 712;-99,9;712;Zeebrugge;Visartsluis - CDNB;51,3369090;3,205463;51.3369089993858;3.20546300041895;06/07/2016
Km-punt op as waterweg;Wielingendok km 0.1;0,1;;Zeebrugge;Wielingendok;51,3539030;3,175294;51.3539030006604;3.17529399915673;06/07/2016
Km-punt op as waterweg;Noordelijk Insteekdok km 1;1,0;;Zeebrugge;Noordelijk Insteekdok;51,3163360;3,215199;51.3163359999443;3.21519899987939;06/07/2016
Brug;Spoorwegbrug;-99,9;;Dudzele;Kanaal Brugge-Zeebrugge;51,2744200;3,212032;51.2744200002406;3.21203199933186;06/07/2016
Km-punt op as waterweg;Geul West - ZP1 km 0.3;0,3;;Zeebrugge;Geul West - ZP1;51,3362870;3,188668;51.3362869996177;3.18866800031984;06/07/2016
Km-punt op as waterweg;Geul West - ZP1 km 0.7;0,7;;Zeebrugge;Geul West - ZP1;51,3395440;3,191098;51.339543999984;3.1910979988043;06/07/2016
Km-punt op as waterweg;LNG km 1.2;1,2;;Zeebrugge;LNG;51,3480920;3,210539;51.3480919995389;3.2105390007608;06/07/2016
Km-punt op as waterweg;Visartsluis - CDNB km 14.3;14,3;;Zeebrugge;Visartsluis - CDNB;51,3476990;3,205917;51.3476989999657;3.20591700047541;06/07/2016
