AARD;DO_DOSSIERJ;DO_DOSSIERN;EL_ELEMENT_;EL_ELEMENT1;EL_ELEMENT2;EL_ELEMENT3;AF_PV_NUMME;FE_VOLGNUMM;FE_TYPE;FEITCODEGRO;FE_AARD;AVOC;AVOC_BET;AVOC_SUM_OB;AVOC_SUM_CA;NUMBER_DEAD;NUMBER_SERV;NUMBER_LIGH;NUMBER_NOT_;FE_DATUM_VA;FE_UUR_VAN;FE_DATUM_TO;FE_UUR_TOT;DATUM;YEAR;MONTH;WEEK_OF_YEA;DAY_OF_WEEK;WEEKEND;HOUR;HOUR_GROUP;DAY_NIGHT_S;DAY_NIGHT_P;FE_STRAAT;FE_HUISNUMM;FE_BUSNUMME;FE_POSTCODE;FE_GEMEENTE;FE_LAND;FE_KRUISPUN;FE_HM_PAAL;FE_LOKALE_P;FE_POGING;FE_ZWARE_OV;FE_MINDERJA;GEOCODETYPE;LOCATION;LOCATION_VA;EL_DATUM_CR;latWGS84;loWGS84;Aangemaakt op
PV;2014;75781;VO;2014;301753;Verzonden;BG.81.L1.301753/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140805;1830;20140805;1830;20140805;2014;august;32;tuesday;0;1830;18;day;day;Maalse Steenweg;104;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140806;51.2104770989653;3.24678996960873;28/06/2016
PV;2015;78153;VO;2015;301784;Verzonden;BG.81.L1.301784/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20150901;1715;20150901;1715;20150901;2015;september;36;tuesday;0;1715;17;day;day;Invalidenstraat;51;;8310;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20150901;51.2086149925177;3.24692882873228;28/06/2016
PV;2015;102515;VO;2015;302342;Verzonden;BG.81.L1.302342/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;3;0;3;0;0;3;0;20151110;1641;20151110;1641;20151110;2015;november;46;tuesday;0;1641;16;day;day;Astridlaan;502;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20151110;51.1898873331147;3.28108765352079;28/06/2016
PV;2015;111877;VO;2015;302594;Verzonden;BG.81.L1.302594/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;2;0;2;0;0;2;1;20151211;0952;20151211;0952;20151211;2015;december;50;friday;0;0952;09;day;day;Pathoekeweg;7;;8000;BRUGGE;België;Paul de Halleuxstraat;;;;;;AnchorPoints;politiezone;;20151211;51.2341177787445;3.21489098515435;28/06/2016
PV;2013;37296;VO;2013;300944;Verzonden;BG.85.L1.300944/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20130426;1630;20130426;1630;20130426;2013;april;17;friday;0;1630;16;day;day;Sint-Pieterskerklaan;;;8000;BRUGGE;België;Palingstraat;;;;;;AnchorPoints;politiezone;;20130426;51.2299071646113;3.20701975014129;28/06/2016
PV;2014;99290;VO;2014;302272;Verzonden;BG.81.L1.302272/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20141014;0745;20141014;0745;20141014;2014;october;42;tuesday;0;0745;07;night;day;Hogeweg;97;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20141014;51.2063267106973;3.20123853111787;28/06/2016
PV;2013;71850;VO;2013;301785;Verzonden;BG.81.L1.301785/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20130803;0120;20130803;0120;20130803;2013;august;31;saturday;1;0120;01;night;night;Koning Albert I-laan;;;8000;BRUGGE;België;;0.2;;;;;AnchorPoints;politiezone;;20130803;51.199453001635;3.21523704408946;28/06/2016
PV;2014;100855;VO;2014;302324;Verzonden;BG.81.L1.302324/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20141017;1140;20141017;1140;20141017;2014;october;42;friday;0;1140;11;day;day;Tragelweg;;;8310;BRUGGE;België;;;;;;;MultiNetStreetMatching;politiezone;;20141017;51.1811242940792;3.23317272203737;28/06/2016
PV;2013;73500;VO;2013;301832;Verzonden;BG.81.L1.301832/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20130807;1513;20130807;1513;20130807;2013;august;32;wednesday;0;1513;15;day;day;Pathoekeweg;;;8000;BRUGGE;België;Jacob van Arteveldestraat;;;;;;AnchorPoints;politiezone;;20130807;51.2252834540761;3.21508182860534;28/06/2016
PV;2014;123653;VO;2014;302833;Verzonden;BG.81.L1.302833/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20141229;1435;20141229;1435;20141229;2014;december;1;monday;0;1435;14;day;day;Gistelse Steenweg;548;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20141229;51.1970575310276;3.17885756978809;28/06/2016
PV;2013;10033;VO;2013;300267;Verzonden;BG.85.L1.300267/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20130202;0520;20130202;0520;20130202;2013;february;5;saturday;1;0520;05;night;night;Geldmuntstraat;31;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20130202;51.2087390430267;3.22180406927042;28/06/2016
PV;2014;45023;VO;2014;300996;Verzonden;BG.85.L1.300996/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140430;1530;20140430;1530;20140430;2014;april;18;wednesday;0;1530;15;day;day;Sint-Arnolduslaan;;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140505;51.1821961191251;3.22151941962749;28/06/2016
PV;2015;57869;VO;2015;301414;Verzonden;BG.81.L1.301414/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20150701;2252;20150701;2252;20150701;2015;july;27;wednesday;0;2252;22;night;night;Brusselstraat;27;;8380;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150706;51.3285659526551;3.1802527289417;28/06/2016
PV;2014;36624;VO;2014;300788;Verzonden;BG.81.L1.300788/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140410;0853;20140410;0853;20140410;2014;april;15;thursday;0;0853;08;day;day;Philipstockstraat;;;8000;BRUGGE;België;Vlamingstraat;;;;;;AnchorPoints;politiezone;;20140410;51.2094216504656;3.22468011746595;28/06/2016
PV;2014;50616;VO;2014;301114;Verzonden;BG.81.L1.301114/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20140520;1146;20140520;1146;20140520;2014;may;21;tuesday;0;1146;11;day;day;Doornstraat;119;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140520;51.1883073636314;3.17614295147716;28/06/2016
PV;2015;110548;VO;2015;302563;In behandeling;BG.85.L1.302563/2015;1;Verkeersongeval;VO;Verkeersongeval met zwaargewonden;3;3;0;1;0;1;0;0;20151207;1935;20151207;1935;20151207;2015;december;50;monday;0;1935;19;night;day;Kustlaan;;;8380;BRUGGE;België;New Yorklaan;;;;;;AnchorPoints;politiezone;;20151207;51.3276460052323;3.18675913460787;28/06/2016
PV;2015;53497;VO;2015;301281;Verzonden;BG.81.L1.301281/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20150618;1815;20150618;1815;20150618;2015;june;25;thursday;0;1815;18;day;day;Hogeweg;;;8200;BRUGGE;België;Legeweg;;;;;;AnchorPoints;politiezone;;20150618;51.2046946663754;3.20202278973958;28/06/2016
PV;2014;57742;VO;2014;301296;Verzonden;BG.85.L1.301296/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140613;0800;20140613;0804;20140613;2014;june;24;friday;0;0800;08;day;day;Ter Zwanekerke;0;;8200;BRUGGE;België;;;Kerkebeekpad;;;;MultiNetStreetMatching;politiezone;;20140613;51.1890252748725;3.21413743799355;28/06/2016
PV;2013;64813;VO;2013;301602;Verzonden;BG.81.L1.301602/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20130709;2300;20130709;2300;20130709;2013;july;28;tuesday;0;2300;23;night;night;Lisseweegs Opperhof;19;;8380;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20130712;51.2970437566818;3.19301446270349;28/06/2016
PV;2015;48915;VO;2015;301188;Verzonden;BG.85.L1.301188/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;2;20150606;2045;20150606;2045;20150606;2015;june;23;saturday;1;2045;20;day;day;Dudzeelse Steenweg;54;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150606;51.2252189116509;3.22838607948001;28/06/2016
PV;2015;43889;VO;2015;301056;Verzonden;BG.85.L1.301056/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;2;0;2;0;0;2;0;20150524;1022;20150524;1022;20150524;2015;may;21;sunday;1;1022;10;day;day;Sint-Jorisstraat;21;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150524;51.2129010907947;3.22174788799004;28/06/2016
PV;2014;80726;VO;2014;301875;Verzonden;BG.81.L1.301875/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;3;20140823;0852;20140823;0852;20140823;2014;august;34;saturday;1;0852;08;day;day;Zandstraat;206;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140823;51.2008739414792;3.18813264097049;28/06/2016
PV;2013;65429;VO;2013;301627;Verzonden;BG.81.L1.301627/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20130715;0850;20130715;0850;20130715;2013;july;29;monday;0;0850;08;day;day;Gijzeleweg;;;8380;BRUGGE;België;Stationsstraat;;;;;;AnchorPoints;politiezone;;20130715;51.2944106556377;3.19474069952334;28/06/2016
PV;2013;29371;VO;2013;300784;Verzonden;BG.81.L1.300784/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;2;20130404;1717;20130404;1717;20130404;2013;april;14;thursday;0;1717;17;day;day;Speistraat;8;;8000;BRUGGE;België;;;;;;;MultiNetAddressMatching;politiezone;;20130404;51.2217041115344;3.17620079474803;28/06/2016
PV;2013;47413;VO;2013;301172;Verzonden;BG.81.L1.301172/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20130527;1007;20130527;1007;20130527;2013;may;22;monday;0;1007;10;day;day;Moerkerkse Steenweg;12;;8310;BRUGGE;België;Dampoortstraat;;;;;;AnchorPoints;politiezone;;20130527;51.2128360034672;3.24246935824052;28/06/2016
PV;2015;91911;VO;2015;302092;Verzonden;BG.85.L1.302092/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20151011;1501;20151011;1501;20151011;2015;october;41;sunday;1;1501;15;day;day;Edward de Denestraat;27;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20151011;51.1990883757642;3.23275594816747;28/06/2016
PV;2013;53964;VO;2013;301331;Verzonden;BG.81.L1.301331/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;2;0;2;0;0;2;1;20130612;0815;20130612;0815;20130612;2013;june;24;wednesday;0;0815;08;day;day;Expresweg;;;8000;BRUGGE;België;Torhoutse Steenweg;;;;;;AnchorPoints;politiezone;;20130612;51.1947828706164;3.19686107657159;28/06/2016
PV;2013;87310;VO;2013;302137;Verzonden;BG.81.L1.302137/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20130913;1726;20130913;1726;20130913;2013;september;37;friday;0;1726;17;day;day;Gistelse Steenweg;;;8200;BRUGGE;België;Hogeweg;;;;;;AnchorPoints;politiezone;;20130913;51.2032669056033;3.20566483076955;28/06/2016
PV;2015;57484;VO;2015;301383;Verzonden;BG.81.L1.301383/2015;1;Verkeersongeval;VO;Verkeersongeval met zwaargewonden;3;3;0;1;0;1;0;1;20150630;1443;20150630;1443;20150630;2015;june;27;tuesday;0;1443;14;day;day;Kustlaan;;;8380;BRUGGE;België;Tijdokstraat;;;;;;AnchorPoints;politiezone;;20150630;51.3292321640291;3.20300525923967;28/06/2016
PV;2014;17238;VO;2014;300398;Verzonden;BG.85.L1.300398/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140217;2349;20140217;2349;20140217;2014;february;8;monday;0;2349;23;night;night;Buiten Boninvest;;;8000;BRUGGE;België;;3.7;;;;;AnchorPoints;politiezone;;20140218;51.2066002958569;3.23955749265747;28/06/2016
PV;2014;11213;VO;2014;300274;Verzonden;BG.81.L1.300274/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140117;1120;20140117;1120;20140117;2014;january;3;friday;0;1120;11;day;day;Havenstraat;;;8000;BRUGGE;België;Lodewijk Coiseaukaai;;;;;;AnchorPoints;politiezone;;20140201;51.2238415711851;3.22711868376588;28/06/2016
PV;2014;85554;VO;2014;301992;Verzonden;BG.81.L1.301992/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140908;1015;20140908;1016;20140908;2014;september;37;monday;0;1015;10;day;day;Buiten Kruisvest;;;8000;BRUGGE;België;Moerkerkse Steenweg;2.9;;;;;AnchorPoints;politiezone;;20140908;51.2131225724464;3.2408018923954;28/06/2016
PV;2015;9328;VO;2015;300223;Verzonden;BG.81.L1.300223/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20150130;1637;20150130;1637;20150130;2015;january;5;friday;0;1637;16;day;day;Cesar Gezellestraat;;;8310;BRUGGE;België;Daverlostraat;;;;;;AnchorPoints;politiezone;;20150130;51.2000180044346;3.23870593558617;28/06/2016
PV;2015;52817;VO;2015;301267;Verzonden;BG.81.L1.301267/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;2;0;2;0;0;2;0;20150617;1050;20150617;1050;20150617;2015;june;25;wednesday;0;1050;10;day;day;Schaakstraat;;;8310;BRUGGE;België;Maalse Steenweg;;;;;;AnchorPoints;politiezone;;20150617;51.209705430371;3.25378783901816;28/06/2016
PV;2014;114027;VO;2014;302609;Verzonden;BG.81.L1.302609/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20141127;1615;20141127;1615;20141127;2014;november;48;thursday;0;1615;16;day;day;Noordzandstraat;;;8000;BRUGGE;België;Hoefijzerlaan;;;;;;AnchorPoints;politiezone;;20141127;51.2059143818757;3.21721727399638;28/06/2016
PV;2013;55387;VO;2013;301359;Verzonden;BG.81.L1.301359/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20130615;1210;20130615;1210;20130615;2013;june;24;saturday;1;1210;12;day;day;Isabellalaan;;;8380;BRUGGE;België;;7.1;;;;;AnchorPoints;politiezone;;20130615;51.3276869059083;3.20353596038394;28/06/2016
PV;2015;112037;VO;2015;302596;In behandeling;BG.81.L1.302596/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20151211;1230;20151211;1230;20151211;2015;december;50;friday;0;1230;12;day;day;Jan Breydellaan;82;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20151211;51.2114514565645;3.20632612501204;28/06/2016
PV;2014;17255;VO;2014;300399;Verzonden;BG.81.L1.300399/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140218;0740;20140218;0740;20140218;2014;february;8;tuesday;0;0740;07;night;day;Blankenbergse Steenweg;;;8000;BRUGGE;België;Tempelhof;0.7;;;;;AnchorPoints;politiezone;;20140218;51.225939168045;3.20641910146054;28/06/2016
PV;2015;55203;VO;2015;301325;Verzonden;BG.81.L1.301325/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20150624;1236;20150624;1236;20150624;2015;june;26;wednesday;0;1236;12;day;day;Spoorwegstraat;;;8200;BRUGGE;België;Ten Briele;;;;;;AnchorPoints;politiezone;;20150624;51.1855504691095;3.22289557607308;28/06/2016
PV;2013;25820;VO;2013;300692;Verzonden;BG.81.L1.300692/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;3;20130324;1546;20130324;1546;20130324;2013;march;12;sunday;1;1546;15;day;day;Buiten Kazernevest;;;8310;BRUGGE;België;Kazernevest;;;;;;AnchorPoints;politiezone;;20130324;51.2118317486183;3.2413017263914;28/06/2016
PV;2014;123129;VO;2014;302818;Verzonden;BG.81.L1.302818/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;2;0;2;0;0;2;2;20141226;1433;20141226;1433;20141226;2014;december;52;friday;0;1433;14;day;day;Koningin Astridlaan;;;8200;BRUGGE;België;Expresweg;;thv rotonde N31;;;;AnchorPoints;politiezone;;20141226;51.1885275612607;3.20098475657484;28/06/2016
PV;2014;6377;VO;2014;300411;Verzonden;BG.81.L1.300411/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20140117;1630;20140117;1630;20140117;2014;january;3;friday;0;1630;16;day;day;Keizer Karelstraat;105;;8000;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20140219;51.2159073739507;3.2136733101143;28/06/2016
PV;2013;101637;VO;2013;302506;Verzonden;BG.81.L1.302506/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20131022;1147;20131022;1147;20131022;2013;october;43;tuesday;0;1147;11;day;day;Koning Leopold III-laan;41;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20131022;51.195166430735;3.18291174446253;28/06/2016
PV;2013;16910;VO;2013;300463;Verzonden;BG.85.L1.300463/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20130224;0615;20130224;0615;20130224;2013;february;8;sunday;1;0615;06;night;day;Meulestee;56;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20130224;51.1811816033495;3.23891105698585;28/06/2016
PV;2013;111837;VO;2013;302785;Verzonden;BG.85.L1.302785/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20131120;0830;20131120;0830;20131120;2013;november;47;wednesday;0;0830;08;day;day;Van Steenestraat;74;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20131120;51.2010703749165;3.24078327424559;28/06/2016
PV;2013;71281;VO;2013;301774;Verzonden;BG.81.L1.301774/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;2;20130801;1541;20130801;1541;20130801;2013;august;31;thursday;0;1541;15;day;day;Scheepsdalelaan;;;8000;BRUGGE;België;Filips de Goedelaan;;;;;;MultiNetCrossroadMatching;politiezone;;20130801;51.2158772753824;3.21522031059353;28/06/2016
PV;2014;72130;VO;2014;301656;Verzonden;BG.81.L1.301656/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20140723;1400;20140723;1400;20140723;2014;july;30;wednesday;0;1400;14;day;day;Kolenkaai;;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140728;51.2214372996716;3.22092533984698;28/06/2016
PV;2014;69931;VO;2014;301604;Verzonden;BG.81.L1.301604/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;3;0;3;0;0;3;1;20140719;1532;20140719;1532;20140719;2014;july;29;saturday;1;1532;15;day;day;Peter Benoitlaan;;;8200;BRUGGE;België;Hoge Lane;;;;;;AnchorPoints;politiezone;;20140719;51.2078686179542;3.20329940567837;28/06/2016
PV;2015;57280;VO;2015;301372;Verzonden;BG.81.L1.301372/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20150629;1706;20150629;1706;20150629;2015;june;27;monday;0;1706;17;day;day;Zeeweg;;;8200;BRUGGE;België;Torhoutse Steenweg;;;;;;AnchorPoints;politiezone;;20150629;51.1692659404778;3.17465866009748;28/06/2016
PV;2013;58647;VO;2013;301444;Verzonden;BG.81.L1.301444/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;2;0;2;0;0;2;0;20130625;0840;20130625;0840;20130625;2013;june;26;tuesday;0;0840;08;day;day;Buiten Begijnenvest;;;8000;BRUGGE;België;Oostmeers;;;;;;MultiNetCrossroadMatching;politiezone;;20130625;51.1992248710503;3.21918071897189;28/06/2016
