Aard;Do_dossier;Do_dossier_2;El_element;El_element_2;El_element_3;El_element_4;Af_pv_numm;Fe_volgnum;Fe_type;Feitcodegr;Fe_aard;Avoc;Avoc_bet;Avoc_sum_o;Avoc_sum_c;Number_dea;Number_ser;Number_lig;Number_not;Fe_datum_v;Fe_uur_van;Fe_datum_t;Fe_uur_tot;Datum;Year;Month;Week_of_ye;Day_of_wee;Weekend;Hour;Hour_group;Day_night_;Day_night__2;Fe_straat;Fe_huisnum;Fe_busnumm;Fe_postcod;Fe_gemeent;Fe_land;Fe_kruispu;Fe_hm_paal;Fe_lokale_;Fe_poging;Fe_zware_o;Fe_minderj;Geocodetyp;Location;Location_v;El_datum_c;latWGS84;loWGS84;Aangemaakt op
PV;2015;59645;VO;2015;301515;Verzonden;BG.81.L1.301515/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150706;1720;20150706;1720;20150706;2015;july;28;monday;0;1720;17;day;day;Koningin Astridlaan;97;;8200;BRUGGE;België;Grasdreef;;;;;;AnchorPoints;politiezone;;20150723;51.1882107760928;3.19748151009677;31/10/2017
PV;2016;31657;VO;2016;300668;Verzonden;BG.91.L1.300668/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20160329;1800;20160330;1030;20160330;2016;march;13;wednesday;0;1030;10;day;day;Predikherenrei;2;;8000;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20160406;51.2091834475407;3.23296400650049;31/10/2017
PV;2016;84503;VO;2016;301957;Verzonden;BG.81.L1.301957/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;3;3;0;1;0;1;0;3;20160926;1957;20160926;1958;20160926;2016;september;39;monday;0;1958;19;night;day;Ezelstraat;139;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20160926;51.2144938813925;3.21672873015625;31/10/2017
PV;2014;63080;VO;2014;301429;Verzonden;BG.90.L1.301429/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140627;1745;20140627;1746;20140627;2014;june;26;friday;0;1746;17;day;day;Rouaanstraat;17;;8380;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140627;51.3276769572326;3.19529429863008;31/10/2017
PV;2015;58862;VO;2015;301408;Verzonden;BG.91.L1.301408/2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20150704;1101;20150704;1101;20150704;2015;july;27;saturday;1;1101;11;day;day;Maalse Steenweg;334;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150705;51.2086488790225;3.26512026351179;31/10/2017
PV;2016;13978;VO;2016;300266;Verzonden;BG.90.L1.300266/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;1;20160211;0219;20160211;0219;20160211;2016;february;6;thursday;0;0219;02;night;night;Koning Albert I-laan;;;8200;BRUGGE;België;Barrièrestraat;;Texaco-tankstation;;;;AnchorPoints;politiezone;;20160211;51.1955425344759;3.21393561836941;31/10/2017
PV;2016;92201;VO;2016;302144;Verzonden;BG.81.L1.302144/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20161020;1215;20161020;1215;20161020;2016;october;42;thursday;0;1215;12;day;day;Torhoutse Steenweg;189;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20161020;51.1975218587583;3.20142554189494;31/10/2017
PV;2015;78341;VO;2015;301792;Verzonden;BG.91.L1.301792/2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20150902;1030;20150902;1030;20150902;2015;september;36;wednesday;0;1030;10;day;day;Maalse Steenweg;216;;8310;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20150902;51.2099542443623;3.25282434758024;31/10/2017
PV;2015;37998;VO;2015;300950;Verzonden;BG.81.L1.300950/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;4;0;4;0;0;4;2;20150506;1442;20150506;1442;20150506;2015;may;19;wednesday;0;1442;14;day;day;Baron Ruzettelaan;60;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150506;51.1965150469236;3.23117333972792;31/10/2017
PV;2014;30440;VO;2014;300647;Verzonden;BG.91.L1.300647/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140322;0800;20140322;1000;20140322;2014;march;12;saturday;1;1000;10;day;day;Boninvest;24;;8000;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20140322;51.2042211613358;3.23537036366942;31/10/2017
