Id;Materiaal;Beheerder;latWGS84;loWGS84;Aangemaakt op
19;;Stad;51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753,51.1917252560753;3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075,3.18631281086075;15/09/2016
50;verf;Stad;51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912,51.1867446287912;3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926,3.23249093351926;15/09/2016
42;betonstraatstenen;Stad;51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675,51.2043170499675;3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515,3.21075357809515;15/09/2016
13;;Stad;51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278,51.194940211278;3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747,3.26831118190747;15/09/2016
51;verf;Stad;51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742,51.1867363704742;3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772,3.23259424766772;15/09/2016
47;verf;Stad;51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098,51.219985242098;3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173,3.22056477938173;15/09/2016
49;verf;Stad;51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702,51.2704416787702;3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834,3.21566331491834;15/09/2016
41;thermoplast;Stad;51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884,51.2158230350884;3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167,3.24598949046167;15/09/2016
21;thermoplast;Stad;51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437,51.190129719437;3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586,3.21201033219586;15/09/2016
37;;Stad;51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946,51.2186488030946;3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216,3.2072422942216;15/09/2016
