DEELGEMEENTE;LIGGING;BELANG;COORDINATEN;NR;AANTAL;latWGS84;loWGS84;Aangemaakt op
Brugge;Prof Dr. J. Sebrechtsstraat;WZC Minnewater;D 12;65;2;51.200029016521675;3.22203471261631;02/05/2018
Brugge;Karel de Stoutelaan t.h.v. Graaf Visartpark;Visartpark en speelplein;B 6;39;1;51.2124653979052;3.2119770902548486;02/05/2018
Sint-Andries;Gistelse Steenweg t.h.v. kerk Sint-Andries;Kerk Sint-Andries;n.o.p.;101;2;51.19707739166378;3.180140795148328;02/05/2018
Sint-Kruis;Julius Delaplacestraat t.h. v. nr. 66;Orthopedie De Pr?tre;J 5;133;1;51.215030629865886;3.2457756702150884;02/05/2018
Sint Michiels;Magdalenastraat 20 (ma- vr 8-18u);alg belang;;204;1;51.20075647696037;3.2074278021774147;02/05/2018
Assebroek;Vestingstraat thv nr 6;algemeen belang;;179;1;51.20156506080467;3.234935286846965;02/05/2018
Brugge;Peterseliestraat tegenover nr. 100;diensten vzw Oranje;H 4;61;2;51.21815369861614;3.233564627491382;02/05/2018
Sint-Kruis;Lopez Gallostraat t.h.v. nr. 21;algemeen belang;n.o.p.;135;1;51.213919193898626;3.2720733342590997;02/05/2018
Sint-Andries;Edgard De Smedtplantsoen (geordende parking aan linkerzijde Magdalenazaal);Cultuurcentrum MaZ;A 12;99;4;51.20111057724212;3.2079763362412845;02/05/2018
Brugge;Sint-Claradreef t.h.v. nr. 67;algemeen belang;E 4;71;1;51.21886881840539;3.2221923159915393;02/05/2018
Brugge;Annuntiatenstraat thv 34;Algemeen belang;;276;2;51.215613293553076;3.2243265126451286;02/05/2018
Sint-Andries;Gistelse Steenweg, parking gelegen achter het gemeentehuis, bereikbaar via Gistelse Steenweg, Albert Serreynstraat en Pastoriestraat;gemeentediensten;n.o.p.;106;2;51.19769866985159;3.180960517179524;02/05/2018
Brugge;Guido Gezellelaan hoek Leemputstraat;winkels + bezoekers bewoners(betalend bewonersparkeren);B 10;33;1;51.205466077494115;3.213195687140467;02/05/2018
Sint-Andries;Pastoriestraat t.h.v. nr. 288;;n.o.p.;116;1;51.20772057235945;3.1734883055632706;02/05/2018
Zeebrugge;Tijdokstraat kant Werfkaai;winkels + horeca;n.o.p.;171;2;51.33029545656802;3.202651344722048;02/05/2018
Brugge;Karel Mirystraat 23;;;294;1;51.22913762597597;3.2292197892729195;02/05/2018
Sint-Kruis;Prins Leopoldstraat thv 5;Algemeen belang;;280;1;51.212919926296266;3.2475780695693217;02/05/2018
Sint-Andries;Jan Breydellaan t.h.v. nr. 23;OCMW-ontmoetingscentrum Jan Breydel;A 10;108;1;51.2067209052591;3.2090362401199974;02/05/2018
Assebroek;Koningin Elisabethsquare;kerk O.L.V.Ten Hemel Opgenomen (= Maria Assumpta);n.o.p.;9;2;51.195454038032814;3.2510134234022012;02/05/2018
Brugge;Oude Zak;;;324;1;51.211015810544794;3.2194090308518746;02/05/2018
Brugge;Schutterstraat (tegenaan Jan Boninstraat);parochiaal centrum;D 6/7;68;2;51.213884313107364;3.2207304898963267;02/05/2018
