DEELGEMEENTE;LIGGING;BELANG;COORDINATEN;NR;AANTAL;latWGS84;loWGS84;Aangemaakt op
Brugge;Woensdagmarkt;alg. belang;;263;2;51.21234913317862;3.2262755682335014;02/05/2018
Brugge;Keizer Karelstraat t.h.v. nr. 53;algemeen belang;B 6;43;1;51.21392511814322;3.212809191955298;02/05/2018
Sint-Jozef;Ronsaardbekestraat t.h.v. kerk;kerk Sint-Jozef;H 1;129;1;51.225334009110064;3.232037437293663;02/05/2018
Brugge;Naaldenstraat t.h.v. nr. 20/22;Evangelische kerk, horeca;E 8;52;1;51.21062917378423;3.2221671921421704;02/05/2018
Brugge;Carmersstraat 117;;;310;1;51.215704990478585;3.2364775615891355;02/05/2018
Brugge;Leffingestraat;begeleid wonen;G 8;48;2;51.21075169475222;3.2316223108536217;02/05/2018
Zwankendamme;Zwankendammestraat t.h.v. nr. 30;;;173;1;51.31073544939009;3.195913071704553;02/05/2018
Sint-Andries;Zandstraat t.h.v. nr. 379;algemeen belang;n.o.p.;122;1;51.20077369227115;3.1845191847104046;02/05/2018
Zwankendamme;Lisseweegs Vaartje thv 20;algemeen belang;;203;1;51.29532222341235;3.19703153148434;02/05/2018
Brugge;Kwekersstraat t.h.v. nr. 23;algemeen belang;I 8;46;1;51.2101484400085;3.2366237411418286;02/05/2018
Sint-Andries;Torhoutse Steenweg t.h.v. nr. 148;algemeen belang;n.o.p.;120;1;51.198581213120036;3.2023685288418355;02/05/2018
Brugge;Sint-Gillisdorpstraat tegenover 17;algemeen belang;;243;1;51.21527447638691;3.225175208953093;02/05/2018
Dudzele;Amaat Vynckestraat - zijkant kerk;kerk Dudzele;n.o.p.;93;1;51.27504654154537;3.2281661575388414;02/05/2018
Brugge;Jan Van Eyckplein thv 18;algemeen belang;;238;2;51.21148733440063;3.2255379288221007;02/05/2018
Zwankendamme;Lisseweegse Steenweg t.h.v. nr. 95;kerk + winkels;n.o.p.;172;1;51.30970610846883;3.1964054599469613;02/05/2018
Sint-Andries;Albert Dyserinckstraat tegenaan de Torhoutse steenweg;;;313;2;51.19614009767194;3.200542634086988;02/05/2018
Sint-Andries;Korte Molenstraat 16;particulier;;199;1;51.19735903702146;3.1744731481314328;02/05/2018
Zeebrugge;Londenstraat (tegenaan Zeedijk);strand;n.o.p.;164;4;51.328188211830444;3.1764465623657574;02/05/2018
Brugge;Park;algemeen belang;G 9;58;3;51.2071194398086;3.2305235485155244;02/05/2018
Brugge;Oude Gentweg 75;;;292;1;51.202694227381066;3.22866058829457;02/05/2018
Brugge;Sint-Gilliskerkhof;kerk St-Gillis + Open School + Ministerie van Financi?n Kadaster;;242;1;51.21507357595102;3.2268556834610385;02/05/2018
Sint-Michiels;Spoorwegstraat;Station NMBS;C 14;149;4;51.196562109151984;3.2156404798152844;02/05/2018
Sint-Jozef;Gandhiplein;bejaardenwoningen;n.o.p.;125;1;51.23041358089392;3.2332831838111926;02/05/2018
Sint-Andries;Molensteenstraat 29;;;300;1;51.18810080774349;3.1767632999889175;02/05/2018
Assebroek;Molenstraat 119;;;322;1;51.19203637712551;3.265531107023231;02/05/2018
Brugge;Arsenaalstraat 6-10;SNTL;F 12;20;2;51.200699421293095;3.224957014297879;02/05/2018
Sint-Jozef;Ter Looigemweg thv 11;alg belang;;266;1;51.22551848378645;3.231284997988131;02/05/2018
Zeebrugge;Tijdokstraat kant Vismijnstraat;winkels + horeca;;170;2;51.33215565385703;3.2021293464093445;02/05/2018
