Naam;Formule;Straat;HuisNr;HuisNrToev;Postcode;Deelgemeente;Gemeente;Branche;Wvo;Check_dat;Winkelgebied;Subcentrum;StrnmEnHuisnr;latWGS84;loWGS84;Aangemaakt op
L'Intermedé;(Zelfst/nvt);Wulfhagestraat;3;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Wulfhagestraat 3;51.2067421624546;3.2189752134058;05/07/2016
De Schulle;(Zelfst/nvt);Akkerstraat;1;;8310;Sint-Kruis;Brugge;59.210.123-Café;;20080123;Verspreide bewinkeling Sint-Kruis;Overig_Sint-Kruis;Akkerstraat 1;51.2133800156438;3.25666316796781;05/07/2016
Barabass;(Zelfst/nvt);Sint-Clarastraat;43;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Sint-Clarastraat 43;51.2151813440341;3.2224815210353;05/07/2016
Croissanterie Ortiz;(Zelfst/nvt);Ezelstraat;74;;8000;Brugge;Brugge;59.210.171-Fastfood;;20090115;Ezelstraat;Ezelstraat;Ezelstraat 74;51.2139176825376;3.21777436481599;05/07/2016
Het Koffieboontje;(Zelfst/nvt);Hallenstraat;4;;8000;Brugge;Brugge;59.210.234-Hotel;;20090119;Centrum Brugge;Centrum Brugge;Hallenstraat 4;51.2079844365435;3.22435004013333;05/07/2016
Poulin;(Zelfst/nvt);Havenstraat;1;;8000;Brugge;Brugge;59.210.123-Café;;20090115;Fort Lapin;Fort Lapin;Havenstraat 1;51.222857157887;3.22699510778787;05/07/2016
't Botaniekske;(Zelfst/nvt);Minderbroedersstraat;26;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Minderbroedersstraat 26;51.2059666301435;3.23297957530286;05/07/2016
De Amand;(Zelfst/nvt);Sint-Amandsstraat;4;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Sint-Amandsstraat 4;51.2085739394006;3.22335595129399;05/07/2016
Marquee;(Zelfst/nvt);Sint-Jansstraat;1;;8000;Brugge;Brugge;59.210.123-Café;;20090119;Centrum Brugge;Centrum Brugge;Sint-Jansstraat 1;51.2106299916773;3.22529804128594;05/07/2016
De Gilde;(Zelfst/nvt);Oude Burg;17;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Oude Burg 17;51.2069207447953;3.2250826895774;05/07/2016
Lotus;(Zelfst/nvt);Moerkerkse Steenweg;57;;8310;Sint-Kruis;Brugge;59.210.434-Restaurant;;20080123;Verspreide bewinkeling Sint-Kruis;Overig_Sint-Kruis;Moerkerkse Steenweg 57;51.2127924154114;3.24452021923557;05/07/2016
Café Frappee +;(Zelfst/nvt);Sint-Amandsstraat;29;;8000;Brugge;Brugge;59.210.246-Yssalon;;20090119;Centrum Brugge;Centrum Brugge;Sint-Amandsstraat 29;51.2082948164556;3.22217655086106;05/07/2016
Korenbloem;(Zelfst/nvt);Azorenstraat;10;;8380;Zeebrugge;Brugge;59.210.180-Bezorg/Halen;;20080109;Verspreide bewinkeling Zeebrugge;Overig_Zeebrugge;Azorenstraat 10;51.3274639689145;3.19461531405654;05/07/2016
