Datum;PM 1;PM 2,5;PM 10;Longitude;Latitude;latWGS84;loWGS84;Aangemaakt op
20180718;4.86;7.11;15.81;3.219727;51.197827;;;22/10/2018
20180719;7.79;9.99;20.56;3.219727;51.197827;;;22/10/2018
20180720;10.38;12.56;21.22;3.219727;51.197827;;;22/10/2018
20180721;5.41;6.78;13.08;3.219727;51.197827;;;22/10/2018
20180722;18.48;20.54;28.10;3.219727;51.197827;;;22/10/2018
20180723;8.39;10.69;21.33;3.219727;51.197827;;;22/10/2018
20180724;5.55;7.45;17.85;3.219727;51.197827;;;22/10/2018
20180725;8.01;10.34;24.06;3.219727;51.197827;;;22/10/2018
20180726;19.12;22.48;40.77;3.219727;51.197827;;;22/10/2018
20180727;18.65;22.17;42.93;3.219727;51.197827;;;22/10/2018
20180728;9.37;12.37;22.05;3.219727;51.197827;;;22/10/2018
20180731;3.25;5.90;12.10;3.219727;51.197827;;;22/10/2018
20180801;4.60;6.55;12.21;3.219727;51.197827;;;22/10/2018
20180802;5.04;7.06;15.59;3.219727;51.197827;;;22/10/2018
20180803;10.15;12.98;25.26;3.219727;51.197827;;;22/10/2018
20180804;6.74;8.83;16.16;3.219727;51.197827;;;22/10/2018
20180805;3.78;5.74;12.66;3.219727;51.197827;;;22/10/2018
20180806;6.73;8.94;20.86;3.219727;51.197827;;;22/10/2018
20180807;14.04;18.12;41.33;3.219727;51.197827;;;22/10/2018
20180808;7.11;10.03;19.54;3.219727;51.197827;;;22/10/2018
20180809;7.18;9.43;17.17;3.219727;51.197827;;;22/10/2018
20180810;3.28;5.23;11.18;3.219727;51.197827;;;22/10/2018
20180811;4.54;6.09;11.27;3.219727;51.197827;;;22/10/2018
20180812;5.09;6.36;11.75;3.219727;51.197827;;;22/10/2018
20180813;6.81;8.70;13.56;3.219727;51.197827;;;22/10/2018
20180814;7.39;9.91;16.56;3.219727;51.197827;;;22/10/2018
20180815;7.45;10.44;16.12;3.219727;51.197827;;;22/10/2018
20180816;5.20;6.51;10.71;3.219727;51.197827;;;22/10/2018
20180817;2.49;4.64;10.40;3.219727;51.197827;;;22/10/2018
20180818;5.88;9.53;16.70;3.219727;51.197827;;;22/10/2018
20180819;7.31;10.34;16.33;3.219727;51.197827;;;22/10/2018
20180820;7.81;9.78;14.72;3.219727;51.197827;;;22/10/2018
20180821;13.89;16.42;22.74;3.219727;51.197827;;;22/10/2018
20180822;7.93;9.35;14.62;3.219727;51.197827;;;22/10/2018
20180823;8.54;10.39;16.49;3.219727;51.197827;;;22/10/2018
20180824;3.08;5.67;13.71;3.219727;51.197827;;;22/10/2018
20180825;2.17;3.61;7.67;3.219727;51.197827;;;22/10/2018
20180826;4.46;5.87;9.86;3.219727;51.197827;;;22/10/2018
20180827;4.04;6.21;11.66;3.219727;51.197827;;;22/10/2018
20180828;5.57;8.89;18.16;3.219727;51.197827;;;22/10/2018
20180829;16.85;19.82;27.33;3.219727;51.197827;;;22/10/2018
20180830;3.77;6.44;13.84;3.219727;51.197827;;;22/10/2018
20180831;4.18;6.92;13.88;3.219727;51.197827;;;22/10/2018
20180901;11.43;14.13;20.61;3.219727;51.197827;;;22/10/2018
20180902;18.58;21.08;27.09;3.219727;51.197827;;;22/10/2018
20180903;7.96;10.76;18.04;3.219727;51.197827;;;22/10/2018
20180904;16.24;20.62;29.52;3.219727;51.197827;;;22/10/2018
20180905;12.60;15.67;21.43;3.219727;51.197827;;;22/10/2018
20180906;8.97;11.40;17.15;3.219727;51.197827;;;22/10/2018
20180907;5.43;7.32;12.34;3.219727;51.197827;;;22/10/2018
20180908;4.82;6.64;11.96;3.219727;51.197827;;;22/10/2018
20180909;5.88;7.78;13.68;3.219727;51.197827;;;22/10/2018
20180910;5.39;8.48;15.61;3.219727;51.197827;;;22/10/2018
20180911;4.68;6.84;13.39;3.219727;51.197827;;;22/10/2018
20180912;3.26;4.99;10.64;3.219727;51.197827;;;22/10/2018
20180913;4.44;6.30;10.76;3.219727;51.197827;;;22/10/2018
20180914;6.89;9.00;16.40;3.219727;51.197827;;;22/10/2018
20180915;4.43;6.69;13.51;3.219727;51.197827;;;22/10/2018
20180916;6.41;8.68;16.15;3.219727;51.197827;;;22/10/2018
20180917;7.84;10.58;25.43;3.219727;51.197827;;;22/10/2018
20180918;6.10;10.01;25.22;3.219727;51.197827;;;22/10/2018
20180919;7.42;12.02;23.89;3.219727;51.197827;;;22/10/2018
20180920;6.82;11.05;23.11;3.219727;51.197827;;;22/10/2018
20180921;3.04;6.46;19.81;3.219727;51.197827;;;22/10/2018
20180922;3.63;6.19;11.96;3.219727;51.197827;;;22/10/2018
20180923;7.56;8.87;11.76;3.219727;51.197827;;;22/10/2018
20180924;2.42;4.41;10.30;3.219727;51.197827;;;22/10/2018
20180925;7.94;10.58;19.93;3.219727;51.197827;;;22/10/2018
20180926;10.18;12.99;22.70;3.219727;51.197827;;;22/10/2018
20180927;15.10;18.51;31.36;3.219727;51.197827;;;22/10/2018
20180928;5.67;9.25;18.19;3.219727;51.197827;;;22/10/2018
20180929;5.34;9.19;19.43;3.219727;51.197827;;;22/10/2018
20180930;9.25;12.22;19.24;3.219727;51.197827;;;22/10/2018
