Datum;PM 1;PM 2,5;PM 10;G;H;I;J;K;L;M;N;O;P;Q;R;Longitude;Latitude;latWGS84;loWGS84;Aangemaakt op
20170529;14.78;17.88;27.94;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170530;8.90;11.42;21.44;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170531;6.93;9.19;16.63;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170601;6.12;8.56;17.46;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170602;6.96;9.57;20.67;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170603;14.79;16.96;23.09;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170604;3.32;6.04;12.47;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170605;3.11;5.24;14.17;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170606;2.96;6.05;16.30;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170607;3.86;8.96;25.35;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170608;4.25;7.51;18.06;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170609;3.65;6.67;13.80;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170610;4.01;7.39;14.89;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170611;4.76;7.61;15.88;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170612;4.46;9.04;20.34;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170613;3.97;6.92;13.22;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170614;11.63;14.16;22.44;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170615;9.10;12.80;30.29;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170616;4.11;8.06;16.38;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170617;6.69;10.12;16.72;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170618;14.26;17.19;24.80;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170619;15.56;17.69;26.78;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170620;18.78;21.66;32.59;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170621;11.20;14.50;29.50;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170622;14.16;19.63;46.38;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170623;6.54;10.91;27.64;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170624;4.11;6.14;11.52;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170625;4.14;6.09;11.29;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170626;2.58;4.95;11.66;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170627;11.62;15.03;26.85;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170628;19.29;22.33;31.74;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170629;4.13;7.73;27.81;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170630;6.90;8.68;15.03;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170701;6.25;10.57;18.62;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170702;4.38;7.20;12.76;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170703;5.83;8.82;18.96;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170704;17.34;21.74;31.36;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170705;6.90;8.87;16.48;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170706;8.80;10.68;18.08;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170707;15.44;18.69;29.70;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170708;6.37;8.73;14.86;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170709;6.78;8.13;13.21;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170710;7.47;9.70;19.89;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170711;5.28;8.16;16.18;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170712;3.95;6.26;12.64;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170713;5.03;7.51;14.36;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170714;6.05;8.29;15.67;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170715;4.99;7.10;13.86;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170716;6.56;9.25;14.99;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170717;4.77;6.31;11.08;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170718;7.91;10.04;18.41;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170719;10.25;13.85;30.39;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170720;5.80;8.33;16.49;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170721;3.18;6.25;14.79;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170722;5.15;7.41;14.76;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170723;3.10;5.00;9.62;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170724;3.37;4.87;7.82;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170725;2.40;3.85;7.03;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170726;7.40;9.16;14.89;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170727;3.83;7.49;15.09;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170728;4.12;7.63;14.55;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170729;3.50;5.00;8.68;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170730;3.54;5.01;10.01;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170731;3.29;5.34;10.20;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170801;3.72;6.18;12.55;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170802;4.81;6.70;13.45;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170803;3.57;5.93;12.81;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170804;1.82;3.90;9.24;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170805;3.41;5.52;10.23;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170806;4.14;5.72;10.32;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170807;4.74;8.25;20.78;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170808;10.16;12.42;18.63;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170809;5.99;7.60;13.00;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170810;12.10;13.83;18.75;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170811;4.74;6.52;10.79;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170812;3.34;5.09;8.76;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170813;4.02;5.58;9.08;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170814;12.72;14.62;21.00;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170815;7.41;8.86;13.12;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
