SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
MAA01;5/11/2012;Lic >60kmu;19:15;19:30;6;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;19:30;19:45;14;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;19:45;20:0;13;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;20:0;20:15;13;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;20:15;20:30;7;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;20:30;20:45;3;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;20:45;21:0;3;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;21:0;21:15;6;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;21:15;21:30;8;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;21:30;21:45;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;21:45;22:0;4;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;22:0;22:15;3;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;22:15;22:30;4;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;22:30;22:45;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;22:45;23:0;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;23:0;23:15;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;23:15;23:30;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;23:45;0:0;3;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;11:15;11:30;18;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;11:30;11:45;35;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;11:45;12:0;26;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;12:0;12:15;21;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;12:15;12:30;24;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;12:30;12:45;21;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;12:45;13:0;29;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;13:0;13:15;28;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;13:15;13:30;31;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;13:30;13:45;40;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;13:45;14:0;27;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;14:0;14:15;23;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;14:15;14:30;23;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;14:30;14:45;28;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;14:45;15:0;30;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;15:0;15:15;22;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;15:15;15:30;55;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;15:30;15:45;21;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;15:45;16:0;34;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;16:0;16:15;25;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;16:15;16:30;21;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;16:30;16:45;24;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;16:45;17:0;33;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;17:0;17:15;29;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;17:15;17:30;31;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;17:30;17:45;42;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;17:45;18:0;25;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;18:0;18:15;20;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;18:15;18:30;35;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;18:30;18:45;27;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;18:45;19:0;20;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;19:0;19:15;14;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;19:15;19:30;5;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;19:30;19:45;9;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;19:45;20:0;3;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;20:0;20:15;7;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;20:15;20:30;4;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;20:30;20:45;8;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;20:45;21:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;21:0;21:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;21:15;21:30;4;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;21:45;22:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;22:0;22:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;22:45;23:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;23:0;23:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;23:30;23:45;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;23:45;0:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;11:15;11:30;19;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;11:30;11:45;3;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;11:45;12:0;8;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;12:0;12:15;12;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;12:15;12:30;8;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;12:30;12:45;32;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;12:45;13:0;6;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;13:0;13:15;11;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;13:15;13:30;19;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;13:30;13:45;8;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;13:45;14:0;9;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;14:0;14:15;18;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;14:15;14:30;17;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;14:30;14:45;31;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;14:45;15:0;17;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;15:0;15:15;20;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;15:15;15:30;24;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;15:30;15:45;3;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;15:45;16:0;5;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;16:0;16:15;13;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;16:15;16:30;10;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;16:30;16:45;27;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;16:45;17:0;16;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;17:0;17:15;11;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;17:15;17:30;26;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;17:30;17:45;5;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;17:45;18:0;12;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;18:0;18:15;7;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;18:15;18:30;2;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;18:30;18:45;3;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;18:45;19:0;7;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;19:0;19:15;4;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;19:15;19:30;3;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;19:30;19:45;1;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;19:45;20:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;21:45;22:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 40-50;23:0;23:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;11:15;11:30;4;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;11:30;11:45;10;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;11:45;12:0;5;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;12:30;12:45;2;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;12:45;13:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;13:0;13:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;13:15;13:30;7;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;13:30;13:45;3;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;13:45;14:0;8;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;14:0;14:15;7;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;14:15;14:30;3;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;14:30;14:45;8;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;14:45;15:0;9;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;15:0;15:15;23;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;15:15;15:30;4;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;15:45;16:0;3;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;16:0;16:15;6;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;16:30;16:45;9;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;16:45;17:0;5;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;17:0;17:15;5;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;17:15;17:30;7;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;17:30;17:45;2;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;17:45;18:0;2;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;18:45;19:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;19:0;19:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;20:0;20:15;3;;;08/07/2016
MAA01;5/11/2012;Lic 30-40;22:45;23:0;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;11:15;11:30;2;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;11:30;11:45;2;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;11:45;12:0;2;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;12:0;12:15;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;12:15;12:30;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;12:30;12:45;3;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;12:45;13:0;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;13:0;13:15;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;13:15;13:30;8;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;14:0;14:15;3;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;14:15;14:30;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;14:30;14:45;33;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;14:45;15:0;5;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;15:0;15:15;11;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;15:15;15:30;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;15:30;15:45;2;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;16:0;16:15;2;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;16:15;16:30;3;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;16:30;16:45;2;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;16:45;17:0;7;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;17:0;17:15;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;17:15;17:30;3;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;17:30;17:45;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;17:45;18:0;5;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;18:0;18:15;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;18:45;19:0;1;;;08/07/2016
MAA01;5/11/2012;Lic <=30kmu ;19:0;19:15;1;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;11:15;11:30;33;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;11:30;11:45;38;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;11:45;12:0;28;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;12:0;12:15;46;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;12:15;12:30;38;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;12:30;12:45;31;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;12:45;13:0;35;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;13:0;13:15;47;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;13:15;13:30;49;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;13:30;13:45;33;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;13:45;14:0;45;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;14:0;14:15;24;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;14:15;14:30;40;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;14:30;14:45;14;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;14:45;15:0;43;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;15:0;15:15;20;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;15:15;15:30;37;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;15:30;15:45;66;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;15:45;16:0;42;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;16:0;16:15;47;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;16:15;16:30;66;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;16:30;16:45;31;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;16:45;17:0;40;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;17:0;17:15;56;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;17:15;17:30;40;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;17:30;17:45;62;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;17:45;18:0;47;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;18:0;18:15;59;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;18:15;18:30;60;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;18:30;18:45;59;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;18:45;19:0;57;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;19:0;19:15;58;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;19:15;19:30;64;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;19:30;19:45;77;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;19:45;20:0;54;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;20:0;20:15;41;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;20:15;20:30;41;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;20:30;20:45;43;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;20:45;21:0;28;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;21:0;21:15;35;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;21:15;21:30;33;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;21:30;21:45;27;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;21:45;22:0;21;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;22:0;22:15;24;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;22:15;22:30;14;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;22:30;22:45;20;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;22:45;23:0;16;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;23:0;23:15;19;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;23:15;23:30;11;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;23:30;23:45;9;;;08/07/2016
MAA01;5/11/2012;Med >60kmu;23:45;0:0;7;;;08/07/2016
MAA01;5/11/2012;Med 50-60;11:15;11:30;18;;;08/07/2016
MAA01;5/11/2012;Med 50-60;11:30;11:45;15;;;08/07/2016
MAA01;5/11/2012;Med 50-60;11:45;12:0;22;;;08/07/2016
MAA01;5/11/2012;Med 50-60;12:0;12:15;24;;;08/07/2016
MAA01;5/11/2012;Med 50-60;12:15;12:30;19;;;08/07/2016
MAA01;5/11/2012;Med 50-60;12:30;12:45;21;;;08/07/2016
MAA01;5/11/2012;Med 50-60;12:45;13:0;22;;;08/07/2016
MAA01;5/11/2012;Med 50-60;13:0;13:15;23;;;08/07/2016
MAA01;5/11/2012;Med 50-60;13:15;13:30;35;;;08/07/2016
MAA01;5/11/2012;Med 50-60;13:30;13:45;37;;;08/07/2016
MAA01;5/11/2012;Med 50-60;13:45;14:0;30;;;08/07/2016
MAA01;5/11/2012;Med 50-60;14:0;14:15;25;;;08/07/2016
MAA01;5/11/2012;Med 50-60;14:15;14:30;17;;;08/07/2016
MAA01;5/11/2012;Med 50-60;14:30;14:45;22;;;08/07/2016
MAA01;5/11/2012;Med 50-60;14:45;15:0;20;;;08/07/2016
MAA01;5/11/2012;Med 50-60;15:0;15:15;18;;;08/07/2016
MAA01;5/11/2012;Med 50-60;15:15;15:30;27;;;08/07/2016
MAA01;5/11/2012;Med 50-60;15:30;15:45;26;;;08/07/2016
MAA01;5/11/2012;Med 50-60;15:45;16:0;42;;;08/07/2016
MAA01;5/11/2012;Med 50-60;16:0;16:15;34;;;08/07/2016
MAA01;5/11/2012;Med 50-60;16:15;16:30;27;;;08/07/2016
MAA01;5/11/2012;Med 50-60;16:30;16:45;24;;;08/07/2016
MAA01;5/11/2012;Med 50-60;16:45;17:0;27;;;08/07/2016
MAA01;5/11/2012;Med 50-60;17:0;17:15;31;;;08/07/2016
MAA01;5/11/2012;Med 50-60;17:15;17:30;28;;;08/07/2016
MAA01;5/11/2012;Med 50-60;17:30;17:45;50;;;08/07/2016
MAA01;5/11/2012;Med 50-60;17:45;18:0;36;;;08/07/2016
MAA01;5/11/2012;Med 50-60;18:0;18:15;34;;;08/07/2016
MAA01;5/11/2012;Med 50-60;18:15;18:30;18;;;08/07/2016
MAA01;5/11/2012;Med 50-60;18:30;18:45;20;;;08/07/2016
MAA01;5/11/2012;Med 50-60;18:45;19:0;31;;;08/07/2016
MAA01;5/11/2012;Med 50-60;19:0;19:15;12;;;08/07/2016
MAA01;5/11/2012;Med 50-60;19:15;19:30;11;;;08/07/2016
MAA01;5/11/2012;Med 50-60;19:30;19:45;7;;;08/07/2016
MAA01;5/11/2012;Med 50-60;19:45;20:0;2;;;08/07/2016
MAA01;5/11/2012;Med 50-60;20:0;20:15;15;;;08/07/2016
MAA01;5/11/2012;Med 50-60;20:15;20:30;3;;;08/07/2016
MAA01;5/11/2012;Med 50-60;20:30;20:45;4;;;08/07/2016
MAA01;5/11/2012;Med 50-60;20:45;21:0;3;;;08/07/2016
MAA01;5/11/2012;Med 50-60;21:15;21:30;1;;;08/07/2016
MAA01;5/11/2012;Med 50-60;21:30;21:45;2;;;08/07/2016
MAA01;5/11/2012;Med 50-60;21:45;22:0;1;;;08/07/2016
MAA01;5/11/2012;Med 50-60;23:0;23:15;1;;;08/07/2016
MAA01;5/11/2012;Med 50-60;23:45;0:0;1;;;08/07/2016
MAA01;5/11/2012;Med 40-50;11:15;11:30;12;;;08/07/2016
MAA01;5/11/2012;Med 40-50;11:30;11:45;2;;;08/07/2016
MAA01;5/11/2012;Med 40-50;12:0;12:15;3;;;08/07/2016
MAA01;5/11/2012;Med 40-50;12:30;12:45;8;;;08/07/2016
MAA01;5/11/2012;Med 40-50;12:45;13:0;8;;;08/07/2016
MAA01;5/11/2012;Med 40-50;13:0;13:15;3;;;08/07/2016
MAA01;5/11/2012;Med 40-50;13:15;13:30;12;;;08/07/2016
MAA01;5/11/2012;Med 40-50;13:30;13:45;7;;;08/07/2016
MAA01;5/11/2012;Med 40-50;13:45;14:0;7;;;08/07/2016
MAA01;5/11/2012;Med 40-50;14:0;14:15;11;;;08/07/2016
MAA01;5/11/2012;Med 40-50;14:15;14:30;3;;;08/07/2016
MAA01;5/11/2012;Med 40-50;14:30;14:45;8;;;08/07/2016
MAA01;5/11/2012;Med 40-50;14:45;15:0;4;;;08/07/2016
MAA01;5/11/2012;Med 40-50;15:0;15:15;12;;;08/07/2016
MAA01;5/11/2012;Med 40-50;15:15;15:30;8;;;08/07/2016
MAA01;5/11/2012;Med 40-50;15:45;16:0;8;;;08/07/2016
MAA01;5/11/2012;Med 40-50;16:0;16:15;5;;;08/07/2016
MAA01;5/11/2012;Med 40-50;16:15;16:30;8;;;08/07/2016
MAA01;5/11/2012;Med 40-50;16:30;16:45;12;;;08/07/2016
MAA01;5/11/2012;Med 40-50;16:45;17:0;5;;;08/07/2016
MAA01;5/11/2012;Med 40-50;17:0;17:15;3;;;08/07/2016
MAA01;5/11/2012;Med 40-50;17:15;17:30;11;;;08/07/2016
MAA01;5/11/2012;Med 40-50;17:30;17:45;4;;;08/07/2016
MAA01;5/11/2012;Med 40-50;17:45;18:0;8;;;08/07/2016
MAA01;5/11/2012;Med 40-50;18:0;18:15;1;;;08/07/2016
MAA01;5/11/2012;Med 40-50;18:15;18:30;1;;;08/07/2016
MAA01;5/11/2012;Med 40-50;18:30;18:45;2;;;08/07/2016
MAA01;5/11/2012;Med 40-50;18:45;19:0;4;;;08/07/2016
