Id;Zonenaam;Soort;latWGS84;loWGS84;Aangemaakt op
4;Stationsomgeving;Blauwe zone;51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369,51.1946868552369;3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145,3.20290920490145;10/10/2016
3;Sint-Andries;Blauwe zone;51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071,51.2102671844071;3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903,3.21241626738903;10/10/2016
6;Sint-Kruis;Blauwe zone;51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782,51.20781512782;3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201,3.24025677927201;10/10/2016
2;Christus-Koning;Blauwe zone;51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096,51.2176156488096;3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517,3.20064045939517;10/10/2016
5;Assebroek;Blauwe zone;51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769,51.199050317769;3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781,3.23053975265781;10/10/2016
7;Sint-Jozef;Blauwe zone;51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923,51.2218712949923;3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927,3.23425506723927;10/10/2016
