ID;Locatie;Capaciteit;latWGS84;loWGS84;Aangemaakt op
5;Steenbrugge;185;51.1813087917529;3.23445886325663;06/07/2016
4;Boogschutterslaan;100;51.2145734862904;3.2486657036672;06/07/2016
6;Jan Breydel;100;51.1948485660364;3.17993008826606;06/07/2016
1;Bevrijdingslaan;154;51.2109944347679;3.20999607912938;06/07/2016
3;L. Coiseaukaai;152;51.2246660101335;3.22650421925082;06/07/2016
2;Magdalenastraat;254;51.2011199048272;3.20917691472032;06/07/2016
