Id;Straatnaam;Wegbeheer;latWGS84;loWGS84;Aangemaakt op
402;Philipstockstraat;Stad;51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312,51.2094191197312;3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511,3.22543102802511;15/09/2016
317;Sint-Annakerkstraat;Stad;51.2115272302334,51.2115272302334,51.2115272302334,51.2115272302334,51.2115272302334,51.2115272302334,51.2115272302334,51.2115272302334,51.2115272302334,51.2115272302334,51.2115272302334,51.2115272302334;3.23085532240217,3.23085532240217,3.23085532240217,3.23085532240217,3.23085532240217,3.23085532240217,3.23085532240217,3.23085532240217,3.23085532240217,3.23085532240217,3.23085532240217,3.23085532240217;15/09/2016
105;Sint-Paulusstraat;Stad;51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053,51.2246887631053;3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924,3.20435001819924;15/09/2016
439;Biddersstraat;Stad;51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016,51.2152877665016;3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642,3.22377788981642;15/09/2016
1019;Kalsijdeader;Stad;51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789,51.2928599108789;3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219,3.19523626796219;15/09/2016
466;Wulfhagestraat;Stad;51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073,51.2066931036073;3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353,3.21917381663353;15/09/2016
493;Leeuwstraat;Stad;51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426,51.2104696999426;3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421,3.21844795517421;15/09/2016
168;Berkenstraat;Stad;51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468,51.2346716074468;3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746,3.20912536944746;15/09/2016
476;Jakob van Ooststraat;Stad;51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961,51.210280074961;3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802,3.22326794809802;15/09/2016
85;Hendrik Waelputstraat;Stad;51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745,51.2197175229745;3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254,3.20519746530254;15/09/2016
