Id;Paalnr;Straatnaam;Huisnummer;Locatie;Inplanting;Aantalpijl;Hotelnaam1;Aantster1;_2zijden1;Staatpijl1;Richting1;Hotelnaam2;Aantster2;_2zijden2;Staatpijl2;Richting2;Hotelnaam3;Aantster3;_2zijden3;Staatpijl3;Hotelnaam4;Aanster4;_2zijden4;Staatpijl4;Hotelnaam5;Aantster5;_2zijden5;Staatpijl5;Hotelnaam6;Aantster6;_2zijden6;Staatpijl6;Richting3;Richting4;Richting5;Richting6;Foto;Hotelnaam7;Aantster7;_2zijden7;Staatpijl7;Richting7;Hotelnaam8;Aantster8;_2zijden8;Staatpijl8;Richting8;Hotelnaam9;Aanster9;_2zijden9;Richting;Staatpijl9;Hotelnm10;Aantster10;_2zijden10;Richting10;Hotelnm11;Aantster11;_2zijden11;Staat11;Richting11;Staat10;latWGS84;loWGS84;Aangemaakt op
71;71;Werkhuisstraat;0;Hoek Oude Gentweg;Voetpad;2;montanus;4;Nee;Goed;Front;Manoir Red;4;Nee;Goed;Front;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07353.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2027100956634;3.22886778997683;15/09/2016
64;64;Heilige-Geeststraat;9;over Goezeputstraat;Voetpad;2;Bonobo;2;Ja;Goed;Rechts;De Goezeput;1;Nee;Goed;Back/Rechts;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07268.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2050525693648;3.22303653525262;15/09/2016
67;67;Jan van Eyckplein;0;Voor standbeeld, hoek Spiegelrei;Voetpad;3;Oud Huis Amsterdam;4;Nee;Goed;Front;Adrones;3;Ja;Goed;Front;de' Medici;4;Ja;'M' is weg;;0;Nee;;;0;Nee;;;0;Nee;;Front;;;;foto/DSC07318.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2117226187567;3.22600004278548;15/09/2016
108;108;Jagersstraat;20;Afslag rondpunt Koning Albert 1 Laan;Middenberm;1;Value Stay Bruges;0;Ja;GoedL;Front/Links;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/jagersstraat.PNG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.1816398152913;3.20591405702425;15/09/2016
14;14;Mariastraat;0;MariaStraat-Guido Gezelleplein (over St-Salvator;Voetpad;7;Koffieboontje;2;Ja;Letters half weg;Front/Links;Relais Bourg. Cruyce;4;Ja;'o' uit bourg weg;Front/Links;Martin's Brugge;3;Ja;Letters weg;Bourgoensch Hof;3;Ja;Goed;De orangerie;4;Ja;Goed;Romantik Pandhotel;4;Nee;Goed;Front/Links;Front/Links;Front/Links;Back/Rechts;foto/DSC07307.JPG;De Tuilerieën;4;0;'T' is weg;Rechts/Back;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2049176535012;3.2237039526264;15/09/2016
75;75;Bargeweg;0;Hoek Buiten de Katelijnevest;Berm met gras;1;De Barge;0;Nee;Goed;Front;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07355.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.1967181250295;3.22447686886634;15/09/2016
43;43;Moerstraat;50;Kruispunt Gheerwijnstraat;Voetpad;1;Walwyck;3;Ja;Krom;Back;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07285.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2097596046817;3.21978827455747;15/09/2016
40;40;Geldmuntstraat;0;Schuinover nr4, hoek St.-Jakobsstraat;Voetpad;5;Hotel Dukes' Palace;4;Ja;Goed;Front;Azalea;4;Ja;Goed;Front;Acacia;4;Nee;Goed;Hotel Marcel;3;Ja;Goed;Heritage;3;Nee;"""bedje"" hangt los + beschadegingen";;0;Nee;;Front;Back;Back;;foto/DSC07287.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.209164426777;3.22282303912072;15/09/2016
2;2;Hendrik Consciencelaan;0;Hoek Hendrik Consciencelaan-Smedenstraat;Beplanting naast fietspad;3;Boudewijn 1;3;Nee;Goed;Front;Park Hotel;4;Nee;Goed;Front;Portinari;4;Ja;Goed;;0;Nee;;;0;Nee;;;0;Nee;;Front;;;;foto/DSC07254.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2046352775343;3.21314059396973;15/09/2016
39;39;Cordoeaniersstraat;0;Hoek Philipstockstraat;Voetpad, naast parkeerplaats;1;De cordoanier;2;Ja;Goed;Front;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07278.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2095141586485;3.2254323892649;15/09/2016
