Id;Nr;Id_1;Wijk;Naam;Capaciteit;Ingenomen;Beschikbaar;Bewoner;Buitenlander;Andere;Bezet;Bezetgraad;AandBew;AandBuit;AandAnder;latWGS84;loWGS84;Aangemaakt op
0;301401;301401;3;Kipstraat noord;0;;0;0;0;1;1;10;0;0;1;51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203,51.2119549019203;3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152,3.22365672092152;12/08/2016
0;304104;304104;3;Willem de Dekenstraat west onpaar;0;;0;0;0;0;0;0;0;0;0;51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169;3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579;12/08/2016
0;1001708;1001708;10;Lane (Zevensterrestraat - Hoefijzerlaan) onpaar (zuid);3;;3;0;0;0;0;0;0;0;0;51.2072811786172,51.2072811786172;3.21565783807179,3.21565783807179;12/08/2016
0;401202;401202;4;Oliebaan (Duinenabdijstraat - ingang school) onpaar (noord);17;;17;2;1;14;14;1;0.11764705882353;0.058823529411765;0.82352941176471;51.2167943714862,51.2167943714862,51.2167943714862,51.2167943714862,51.2167943714862;3.2320793960151,3.2320793960151,3.2320793960151,3.2320793960151,3.2320793960151;12/08/2016
0;901405;901405;9;Oostmeers (Prof.Dr.J.Sebrechtsstraat - R30) onpaar (oost);14;;14;5;0;5;5;0.71428571428571;0.5;0;0.5;51.2001908916904,51.2001908916904,51.2001908916904,51.2001908916904,51.2001908916904,51.2001908916904,51.2001908916904;3.22061777810279,3.22061777810279,3.22061777810279,3.22061777810279,3.22061777810279,3.22061777810279,3.22061777810279;12/08/2016
0;1002701;1002701;10;Zwijnstraat (Smedenstraat - Sint-Maartensbilk);0;;0;0;0;1;1;10;0;0;1;51.205518111924,51.205518111924,51.205518111924,51.205518111924;3.2154929433404,3.2154929433404,3.2154929433404,3.2154929433404;12/08/2016
0;1204401;1204401;12;Vismarkt paar (oost);9;;9;5;1;1;1;0.77777777777778;0.71428571428571;0.14285714285714;0.14285714285714;51.20815266302,51.20815266302;3.22832897444003,3.22832897444003;12/08/2016
0;402102;402102;4;Speelmansstraat onpaar (west);0;;0;0;0;0;0;0;0;0;0;51.2153217185656,51.2153217185656;3.23270756421093,3.23270756421093;12/08/2016
0;304201;304201;3;West-Gistelhof (Oost-Gistelhof - Kleine Hoedenmakersstraat) paar (oost);0;;0;0;0;0;0;0;0;0;0;51.2134703712061,51.2134703712061,51.2134703712061,51.2134703712061,51.2134703712061,51.2134703712061,51.2134703712061;3.22506237700524,3.22506237700524,3.22506237700524,3.22506237700524,3.22506237700524,3.22506237700524,3.22506237700524;12/08/2016
0;901406;901406;9;Oostmeers (Goezeputstraat - Sint-Obrechtsstraat) paar (west);0;;0;0;0;0;0;0;0;0;0;51.2043992242705,51.2043992242705,51.2043992242705,51.2043992242705,51.2043992242705,51.2043992242705,51.2043992242705,51.2043992242705,51.2043992242705;3.22055298396267,3.22055298396267,3.22055298396267,3.22055298396267,3.22055298396267,3.22055298396267,3.22055298396267,3.22055298396267,3.22055298396267;12/08/2016
0;300801;300801;3;Hoedenmakersstraat (Augustijnenrei - Kleine Hoedenmakersstraat) paar (oost);0;;0;0;0;0;0;0;0;0;0;51.2141740420374,51.2141740420374,51.2141740420374;3.22401002636838,3.22401002636838,3.22401002636838;12/08/2016
