STRAATnummer;STRAATNAAM;huisnr;suffix;busnr;POSTCODE;GEMEENTEAFDELING;SECTOR;dat_beslissing;Aantal_verblijven;in_uitbating;StraatHuisNummer;latWGS84;loWGS84;Aangemaakt op
7025;Dorpsstraat;72;;;8200;Sint-Michiels;W;20171003000000.000;6;ja;Dorpsstraat 72;51.1870849164231;3.21938003829609;20/11/2017
7091;Rijselstraat;120;;;8200;Sint-Michiels;W;19980922000000.000;3;neen;Rijselstraat 120;51.1873908672929;3.21059484313045;20/11/2017
7091;Rijselstraat;57;;;8200;Sint-Michiels;W;20170912000000.000;4;ja;Rijselstraat 57;51.1889680774106;3.21189638325074;20/11/2017
290;Schaarstraat;78;;;8000;Brugge-Centrum;C;20010730000000.000;1;ja;Schaarstraat 78;51.2066222536739;3.23391553552924;20/11/2017
7046;Joseph Wautersstraat;61;;;8200;Sint-Michiels;W;20160622000000.000;125;ja;Joseph Wautersstraat 61;51.1921811318924;3.19912838611274;20/11/2017
315;Sint-Jorisstraat;51;;;8000;Brugge-Centrum;C;20101231000000.000;3;ja;Sint-Jorisstraat 51;51.2141463627745;3.22139250599635;20/11/2017
109;Gulden-Vlieslaan;6;;;8000;Brugge-Centrum;C;20101209000000.000;8;ja;Gulden-Vlieslaan 6;51.2101161897646;3.21439779123422;20/11/2017
7120;Titecastraat;43;;;8200;Sint-Michiels;W;20140904000000.000;5;ja;Titecastraat 43;51.1934981463592;3.20364341365461;20/11/2017
1045;Generaal Lemanlaan;97;;;8310;Assebroek;O;20141222000000.000;2;ja;Generaal Lemanlaan 97;51.2021060313232;3.24080063939152;20/11/2017
924;Lauwerstraat;33;;;8000;Christus-Koning;C;20010626000000.000;3;ja;Lauwerstraat 33;51.2140679909691;3.20896029347949;20/11/2017
185;Kopstraat;9;;;8000;Brugge-Centrum;C;20011123000000.000;10;ja;Kopstraat 9;51.2074650948506;3.22158076145044;20/11/2017
286;Rozendal;30;;;8000;Brugge-Centrum;C;19961212000000.000;4;ja;Rozendal 30;51.2115286152919;3.21782407044195;20/11/2017
326;Spanjaardstraat;3;;;8000;Brugge-Centrum;C;20151113000000.000;42;ja;Spanjaardstraat 3;51.2118070642384;3.22466587871392;20/11/2017
23;Bilkske;5;;;8000;Brugge-Centrum;C;20090925000000.000;17;ja;Bilkske 5;51.2096968021473;3.23549934786202;20/11/2017
5059;Korte Vesting;1;;;8200;Sint-Andries;W;20170919000000.000;5;ja;Korte Vesting 1;51.2037552757852;3.21072738724295;20/11/2017
60;Dweersstraat;14;;;8000;Brugge-Centrum;C;20140701000000.000;9;ja;Dweersstraat 14;51.2061560374166;3.21912063432356;20/11/2017
5030;Gistelse Steenweg;40;;;8200;Sint-Andries;W;20121231000000.000;15;ja;Gistelse Steenweg 40;51.2039160590537;3.20833266352275;20/11/2017
383;Wulfhagestraat;37;;;8000;Brugge-Centrum;C;20070103000000.000;6;neen;Wulfhagestraat 37;51.2073651989036;3.21821639398526;20/11/2017
544;Sint-Pieterskaai;43;;;8000;Sint-Pieters;N;20160818000000.000;4;ja;Sint-Pieterskaai 43;51.2209997400756;3.21709400460204;20/11/2017
5030;Gistelse Steenweg;182;;;8200;Sint-Andries;W;20150327000000.000;4;ja;Gistelse Steenweg 182;51.2013650766853;3.19947558797607;20/11/2017
7079;Oudekerkstraat;6;;;8200;Sint-Michiels;W;20031107000000.000;2;neen;Oudekerkstraat 6;51.1907411245957;3.21047484132134;20/11/2017
301;Sint-Annaplein;12;;;8000;Brugge-Centrum;C;20051212000000.000;8;ja;Sint-Annaplein 12;51.2123798794456;3.23215372453768;20/11/2017
106;Guido Gezellelaan;8;A;;8000;Brugge-Centrum;C;20160523000000.000;3;ja;Guido Gezellelaan 8;51.2059448480414;3.21350294802525;20/11/2017
247;Oosterlingenplein;5;;;8000;Brugge-Centrum;C;20170714000000.000;3;ja;Oosterlingenplein 5;51.2129109227879;3.22652999054038;20/11/2017
243;Noordzandstraat;91;;;8000;Brugge-Centrum;C;19981126000000.000;3;ja;Noordzandstraat 91;51.2061415531752;3.21834618073746;20/11/2017
155;Katelijnestraat;34;;;8000;Brugge-Centrum;C;19931026000000.000;3;neen;Katelijnestraat 34;51.2031742927824;3.22485537121719;20/11/2017
349;Van Voldenstraat;14;;;8000;Brugge-Centrum;C;20050804000000.000;2;ja;Van Voldenstraat 14;51.2021311615221;3.21493839534251;20/11/2017
5030;Gistelse Steenweg;45;;;8200;Sint-Andries;W;20020304000000.000;6;ja;Gistelse Steenweg 45;51.203459254143;3.20748439882466;20/11/2017
155;Katelijnestraat;105;;;8000;Brugge-Centrum;C;20171020000000.000;9;ja;Katelijnestraat 105;51.2013817289601;3.22763299666655;20/11/2017
5038;Hertogenstraat;22;;;8200;Sint-Andries;W;20160125000000.000;6;ja;Hertogenstraat 22;51.1998319922108;3.2021830514248;20/11/2017
1;Academiestraat;8;;;8000;Brugge-Centrum;C;20070103000000.000;6;ja;Academiestraat 8;51.2112001135757;3.22469552029552;20/11/2017
5030;Gistelse Steenweg;596;;;8200;Sint-Andries;W;20121231000000.000;7;ja;Gistelse Steenweg 596;51.1965374418639;3.17605805056483;20/11/2017
352;Verbrand Nieuwland;31;;;8000;Brugge-Centrum;C;20050804000000.000;4;ja;Verbrand Nieuwland 31;51.2105134947693;3.23377662147469;20/11/2017
5015;Jonkheer Paul Coppietersdreef;4;;;8200;Sint-Andries;W;20150928000000.000;9;ja;Jonkheer Paul Coppietersdreef 4;51.1969400546655;3.20024674644637;20/11/2017
5041;Hogeweg;156;;;8200;Sint-Andries;W;20121221000000.000;3;ja;Hogeweg 156;51.2069950699542;3.19797856998638;20/11/2017
