DEELGEMEENTE;LIGGING;OPMERKINGEN;NR;AANTAL;latWGS84;loWGS84;Aangemaakt op
Sint-Jozef;3337;aan pompstation r.o. Ter Looigemweg / bovengronds;46;2;51.2270924618881;3.23183005865561;30/10/2017
Christus-Koning;930;op parking GB / bovengronds;18;2;51.2165698924292;3.21307821776661;30/10/2017
Koolkerke;3008;op parking aan voetbalterrein;24;1;51.2318303757395;3.2480947275626;30/10/2017
Assebroek;1121;op driehoekig graspleintje / bovengronds;4;1;51.1879700070278;3.27182134472187;30/10/2017
Sint-Kruis;6122;aan inrit naar zwembad / bovengronds;56;1;51.208169438873;3.25742130098948;30/10/2017
Zeebrugge;760;aan grasplein in begin straat / bovengronds;77;1;51.3272394531562;3.1906848749286;30/10/2017
Dudzele;2032;tegenaan Herdersbruggestraat / bovengronds;22;1;51.2720281162503;3.22357266531739;30/10/2017
Sint-Kruis;6099;tegenaan Moerkerkse Steenweg / bovengronds;55;2;51.2145486020811;3.25195327832224;30/10/2017
Lissewege;4018;op parking achterzijde station;28;2;51.2949284441095;3.19468929549702;30/10/2017
Zeebrugge;749;in begin kaai / ondergronds;85;1;51.3351266191071;3.20789272427633;30/10/2017
Assebroek;1076;op hoek met Daverlostraat / bovengronds;9;2;51.198628207277;3.23997783095721;30/10/2017
Assebroek;1042;aan begin Sint-Kristoffelstraat / bovengronds;7;2;51.2011398016012;3.24704772809088;30/10/2017
Christus-Koning;934;bovengronds;25;1;51.2187860259594;3.21794082431649;30/10/2017
Sint-Andries;5070;op parking Edgar De Smedtplantsoen / bovengronds;33;2;51.201021901036;3.20788943520004;30/10/2017
Sint-Andries;5004;op parking achter gemeentehuis / bovengronds;29;3;51.1981627924004;3.18094299759437;30/10/2017
Sint-Michiels;7138;tegenaan Torhoutse Steenweg / bovengronds;67;1;51.1831340908727;3.18874977102384;30/10/2017
Sint-Andries;5020;aan rondpunt / bovengronds;31;1;51.1934475880183;3.19313290352329;30/10/2017
Kruisabele;2017;op einde straat / bovengronds;26;1;51.2459814814656;3.22245264527583;30/10/2017
Zeebrugge;729;zijarm op hoek met Kielbankstraat / bovengronds;83;1;51.3291636730476;3.20139688275353;30/10/2017
Zeebrugge;732;tegenaan Kustlaan / bovengronds;76;1;51.3269181346594;3.17705747152006;30/10/2017
Zeebrugge;735;v??r gemeenschapshuis / bovengronds;80;1;51.3313243533369;3.21031286664223;30/10/2017
Assebroek;1060;tegenaan hoek met Pannenhuisstraat / bovengronds;8;1;51.1883031908495;3.27872531202714;30/10/2017
Assebroek;1179;tegenaan Baron Ruzettelaan / bovengronds;10;1;51.1889430942517;3.23354249721617;30/10/2017
Sint-Kruis;6049;op 1e parking op einde straat / bovengronds;51;2;51.2189575874645;3.24745226656324;30/10/2017
Sint-Jozef;3331;op einde straat aan Gandhiplein / bovengronds;45;1;51.230665380187;3.23304112066519;30/10/2017
Koolkerke;3001;op gemeenteplein / bovengronds;23;1;51.2414160489343;3.24889019883761;30/10/2017
Brugge;260;naast toegang ondergrondse parking / ondergronds;87;3;51.2069511781392;3.23008444377713;30/10/2017
Sint-Kruis;6025;op parking supermarkt Ronse nr. 225 / bovengronds;49;2;51.2123726067367;3.27837600576784;30/10/2017
Sint-Andries;571;verbindingsweg naar Steenkaai / bovengronds;41;2;51.2200893740624;3.19989873738749;30/10/2017
Zeebrugge;753;tegenaan nieuwe zeesluizen / bovengronds;81;1;51.3357454130255;3.21372227012276;30/10/2017
Sint-Kruis;6077;t.h.v. speelterrein;53;2;51.2164559065587;3.27984728384764;30/10/2017
