A;B;C;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00;T16;T24;latWGS84;loWGS84;Aangemaakt op
20140911;Zwaar;30-50;0;0;0;0;0;0;0;2;1;4;1;3;1;2;1;1;4;5;2;1;0;0;0;0;28;28;;;08/07/2016
20140911;Zwaar;50-70;0;0;1;0;0;2;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4;7;;;08/07/2016
20140911;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140911;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140912;Licht;00-30;0;1;0;0;0;1;1;8;19;24;25;29;8;12;15;16;35;21;5;6;1;1;3;1;226;232;;;08/07/2016
20140912;Licht;30-50;6;1;2;2;4;7;20;154;282;217;244;300;284;228;264;329;532;423;334;139;143;73;76;32;3966;4096;;;08/07/2016
20140912;Licht;50-70;18;14;8;3;8;13;43;80;55;46;49;56;85;113;88;67;72;105;150;121;79;72;47;51;1281;1443;;;08/07/2016
20140912;Licht;70-90;1;1;2;0;5;1;1;3;0;1;0;1;0;2;1;0;0;0;2;3;2;1;5;6;17;38;;;08/07/2016
20140912;Licht;90-..;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;08/07/2016
20140912;Medium;00-30;1;0;0;0;0;0;0;3;2;0;0;2;1;1;3;1;2;2;1;0;0;0;1;0;18;20;;;08/07/2016
20140912;Medium;30-50;0;0;1;0;0;2;2;6;27;17;14;16;14;15;12;18;27;20;9;6;4;3;1;1;210;215;;;08/07/2016
20140912;Medium;50-70;0;0;0;0;1;0;6;1;1;4;3;2;7;4;2;2;3;6;4;1;0;4;0;0;50;51;;;08/07/2016
20140912;Medium;70-90;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;;;08/07/2016
20140912;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140912;Zwaar;00-30;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;;;08/07/2016
20140912;Zwaar;30-50;0;0;0;0;0;0;0;3;2;3;2;1;0;2;1;3;4;6;0;0;2;0;0;0;29;29;;;08/07/2016
20140912;Zwaar;50-70;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;4;;;08/07/2016
20140912;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140912;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140913;Licht;00-30;1;0;0;0;1;0;2;5;2;13;18;31;8;14;10;11;7;7;17;6;3;3;0;0;157;159;;;08/07/2016
20140913;Licht;30-50;34;8;12;4;6;8;10;24;89;212;286;313;271;211;209;250;291;312;272;158;98;39;50;52;3045;3219;;;08/07/2016
20140913;Licht;50-70;50;20;16;18;10;9;17;58;57;72;69;90;120;102;107;119;115;131;158;103;56;46;42;52;1420;1637;;;08/07/2016
20140913;Licht;70-90;4;1;2;5;3;3;0;1;4;1;0;0;3;1;0;2;1;0;1;1;1;3;0;1;19;38;;;08/07/2016
20140913;Licht;90-..;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;;;08/07/2016
20140913;Medium;00-30;0;1;0;0;0;0;0;1;0;1;0;3;2;1;0;3;2;2;1;0;1;1;1;0;18;20;;;08/07/2016
20140913;Medium;30-50;0;0;1;0;0;1;2;3;5;6;6;6;3;5;7;4;5;7;4;6;1;3;1;0;73;76;;;08/07/2016
20140913;Medium;50-70;1;0;1;1;0;0;1;4;3;1;0;3;1;1;5;2;3;2;0;1;2;1;0;0;30;33;;;08/07/2016
20140913;Medium;70-90;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
20140913;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140913;Zwaar;00-30;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;;08/07/2016
20140913;Zwaar;30-50;0;0;0;1;0;0;0;0;0;2;2;1;0;0;0;0;0;0;1;0;0;1;0;0;7;8;;;08/07/2016
20140913;Zwaar;50-70;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;;;08/07/2016
20140913;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140913;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140914;Licht;00-30;0;0;1;0;0;1;0;1;4;7;8;8;8;6;3;6;5;4;2;3;1;3;0;1;69;72;;;08/07/2016
20140914;Licht;30-50;18;11;7;8;4;6;5;31;82;108;137;139;103;105;113;105;144;203;154;103;82;44;27;6;1658;1745;;;08/07/2016
20140914;Licht;50-70;44;31;23;17;10;13;7;25;50;68;91;111;97;88;111;81;78;101;128;105;72;48;29;18;1261;1446;;;08/07/2016
20140914;Licht;70-90;2;2;3;4;2;3;2;3;4;2;0;0;2;1;0;1;5;4;5;4;3;4;0;2;40;58;;;08/07/2016
20140914;Licht;90-..;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;6;;;08/07/2016
20140914;Medium;00-30;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;6;7;;;08/07/2016
20140914;Medium;30-50;1;0;0;0;0;2;0;0;1;1;1;1;1;1;1;0;1;3;3;1;3;0;0;0;18;21;;;08/07/2016
20140914;Medium;50-70;0;1;0;0;0;2;0;0;1;0;0;0;2;2;2;0;1;4;1;2;0;0;0;0;15;18;;;08/07/2016
20140914;Medium;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140914;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140914;Zwaar;00-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140914;Zwaar;30-50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;2;;;08/07/2016
20140914;Zwaar;50-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140914;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140914;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140915;Licht;00-30;0;0;0;1;1;1;2;9;7;12;8;29;10;8;34;17;25;18;15;5;4;0;3;1;203;210;;;08/07/2016
20140915;Licht;30-50;1;1;1;0;4;5;29;163;298;221;226;230;228;184;259;267;519;508;293;117;103;52;44;14;3697;3767;;;08/07/2016
20140915;Licht;50-70;11;4;6;4;16;14;40;87;57;50;37;48;95;100;62;99;67;89;123;112;67;64;41;31;1197;1324;;;08/07/2016
20140915;Licht;70-90;1;1;2;2;0;1;2;1;0;0;0;0;3;1;0;1;0;0;0;3;2;0;2;3;13;25;;;08/07/2016
20140915;Licht;90-..;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;;;08/07/2016
20140915;Medium;00-30;0;0;0;0;0;2;1;1;1;4;0;0;1;4;4;2;2;2;2;0;2;0;0;0;26;28;;;08/07/2016
20140915;Medium;30-50;0;0;0;0;1;1;1;6;18;10;15;19;8;12;14;14;17;21;10;5;4;1;0;0;175;177;;;08/07/2016
20140915;Medium;50-70;0;0;0;1;0;2;1;3;2;3;1;0;3;2;4;4;4;0;2;2;2;2;0;0;35;38;;;08/07/2016
20140915;Medium;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;;08/07/2016
20140915;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140915;Zwaar;00-30;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;5;5;;;08/07/2016
20140915;Zwaar;30-50;0;0;0;0;0;0;1;1;4;3;2;1;3;2;1;3;1;4;0;0;1;0;0;0;27;27;;;08/07/2016
20140915;Zwaar;50-70;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;6;6;;;08/07/2016
20140915;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140915;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140916;Licht;00-30;0;0;0;0;0;0;3;10;21;24;20;15;13;13;10;9;12;25;17;9;2;6;1;0;209;210;;;08/07/2016
20140916;Licht;30-50;3;4;3;1;6;7;27;157;286;175;212;238;263;175;188;243;464;513;379;170;94;79;36;14;3663;3737;;;08/07/2016
20140916;Licht;50-70;9;3;3;5;10;17;36;80;56;54;39;72;97;86;92;93;85;109;129;120;86;73;66;35;1307;1455;;;08/07/2016
20140916;Licht;70-90;4;3;1;2;0;2;3;1;1;1;1;0;0;1;1;2;0;0;0;3;1;3;7;5;18;42;;;08/07/2016
20140916;Licht;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140916;Medium;00-30;0;0;0;0;0;0;0;2;1;9;0;0;2;3;2;3;1;2;4;0;0;0;0;0;29;29;;;08/07/2016
20140916;Medium;30-50;0;0;1;0;0;0;1;8;22;9;14;14;10;13;13;7;22;22;11;3;2;2;0;0;173;174;;;08/07/2016
20140916;Medium;50-70;1;0;0;1;0;0;3;2;0;1;0;0;2;7;7;4;2;2;4;1;0;1;2;0;36;40;;;08/07/2016
20140916;Medium;70-90;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
20140916;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140916;Zwaar;00-30;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;;;08/07/2016
20140916;Zwaar;30-50;0;0;0;0;0;0;0;6;1;1;2;6;2;3;2;3;3;4;0;0;1;0;0;0;34;34;;;08/07/2016
