Nr;Id_1;Wijk;Zone;Naam_straa;Proc_bezet;Proc_bewon;Proc_buite;Proc__ande;latWGS84;loWGS84;Aangemaakt op
300105;300105;3;1;Annuntiatenstraat (Collaert Mansionstraat - Lange Rei) paar (zuid);45.454545;80;0;20;51.2160780836875,51.2160780836875,51.2160780836875,51.2160780836875,51.2160780836875,51.2160780836875,51.2160780836875,51.2160780836875,51.2160780836875,51.2160780836875,51.2160780836875,51.2160780836875;3.22833453393199,3.22833453393199,3.22833453393199,3.22833453393199,3.22833453393199,3.22833453393199,3.22833453393199,3.22833453393199,3.22833453393199,3.22833453393199,3.22833453393199,3.22833453393199;07/07/2016
701603;701603;7;1;Predikherenstraat (Witteleertouwersstraat - Groenerei) onpaar (noord);100;0;40;60;51.2091024309786,51.2091024309786,51.2091024309786,51.2091024309786,51.2091024309786,51.2091024309786;3.23176863924397,3.23176863924397,3.23176863924397,3.23176863924397,3.23176863924397,3.23176863924397;07/07/2016
202506;202506;2;1;Sint-Jakobsstraat (Moerstraat - Grauwwerkersstraat) onpaar (west);0;0;0;0;51.2113701403251,51.2113701403251,51.2113701403251;3.22071539383017,3.22071539383017,3.22071539383017;07/07/2016
1000911;1000911;10;2;Hendrik Consciencelaan (Klokstraat - Fonteinstraat) kant water (west);0;0;0;0;51.2029249942499,51.2029249942499;3.21410896322601,3.21410896322601;07/07/2016
500508;500508;5;1;Carmersstraat (Korte Blekersstraat - Jeruzalemstraat) paar (zuid);0;0;0;0;51.2135758560323,51.2135758560323,51.2135758560323;3.23047140312755,3.23047140312755,3.23047140312755;07/07/2016
501301;501301;5;1;Korte Rijkepijndersstraat paar (oost);0;0;0;0;51.2136921098001,51.2136921098001,51.2136921098001,51.2136921098001,51.2136921098001,51.2136921098001,51.2136921098001,51.2136921098001;3.23159406624375,3.23159406624375,3.23159406624375,3.23159406624375,3.23159406624375,3.23159406624375,3.23159406624375,3.23159406624375;07/07/2016
1002102;1002102;10;2;Schouwvegerstraat (G.Gezellelaan - Brandstraat) onpaar (zuid);71.428571;60;0;40;51.2079391819054,51.2079391819054;3.21432803888604,3.21432803888604;07/07/2016
1000104;1000104;10;2;Boeveriestraat (Klokstraat - Koning Albert I-laan) paar (oost);43.75;71.428571;0;28.571429;51.2040481931162,51.2040481931162,51.2040481931162,51.2040481931162,51.2040481931162,51.2040481931162,51.2040481931162,51.2040481931162,51.2040481931162,51.2040481931162;3.21722639592342,3.21722639592342,3.21722639592342,3.21722639592342,3.21722639592342,3.21722639592342,3.21722639592342,3.21722639592342,3.21722639592342,3.21722639592342;07/07/2016
202001;202001;2;1;Poitevinstraat paar (noord);0;0;0;0;51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683,51.2127902185683;3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538,3.22172106117538;07/07/2016
1000401;1000401;10;2;Fonteinstraat (H.Conscienselaan - Maagdenstraat) paar (noord);28.571429;0;100;0;51.2025168618888,51.2025168618888;3.21456177544316,3.21456177544316;07/07/2016
400201;400201;4;1;´s Gravenstraat (Calvariebergstraat - Stokersstraat) onpaar (noord);62.5;100;0;0;51.2206458275515,51.2206458275515,51.2206458275515;3.22780951483383,3.22780951483383,3.22780951483383;07/07/2016
