ID;X;Y;TOESTELLEN;PUBLIEK;latWGS84;loWGS84;Aangemaakt op
30;70466.905;218974.592;J;J;51.2755992936774;3.22888794590563;16/03/2017
35;69320.843;225617.285;J;J;51.3349786006706;3.21045144964246;16/03/2017
117;0;0;J;J;51.2311671037976;3.23827426161923;16/03/2017
24;68752.706;212892.155;J;J;51.2204148017414;3.20546244576615;16/03/2017
67;68840.433;210884.281;J;J;51.2022516181296;3.20765651673859;16/03/2017
45;71655.147;215234.342;J;J;51.241866059857;3.24649444398782;16/03/2017
85;66280.9;210342.936;J;J;51.1971522253562;3.17067687150117;16/03/2017
9;0;0;J;J;51.1963701551166;3.23292354440134;16/03/2017
54;73313.868;209246.875;N;J;51.1882772634644;3.27151024113346;16/03/2017
105;0;0;J;J;51.2109275878985;3.25214613904777;16/03/2017
13;70098.611;212785.605;J;J;51.219645675165;3.22474863413441;16/03/2017
31;70256.491;218720.427;J;J;51.2730052760439;3.22570176651719;16/03/2017
33;67775.601;221082.549;J;J;51.2938846857139;3.18961945223362;16/03/2017
63;74064.566;212390.175;N;J;51.2166263980835;3.28158988731031;16/03/2017
82;67502.541;211036.026;J;J;51.2035564723816;3.18799283487674;16/03/2017
3;0;0;J;J;51.1934529905587;3.23072052859261;16/03/2017
6;0;0;J;J;51.1925656619175;3.18276941255055;16/03/2017
66;72753.443;211282.895;J;J;51.2065013867486;3.26306249156491;16/03/2017
78;67075.709;211008.755;J;J;51.2035034899935;3.18189007801355;16/03/2017
107;0;0;N;J;51.1917521666796;3.20104978338719;16/03/2017
19;69204.024;210860.426;J;J;51.2022190431907;3.21237405852169;16/03/2017
46;70492.865;215732.331;J;J;51.2461826166186;3.22974372831146;16/03/2017
77;68259.38;211485.842;J;J;51.2077658792928;3.19934844170629;16/03/2017
104;0;0;J;J;51.2119573378865;3.24634294134067;16/03/2017
56;70710.464;209477.776;J;J;51.1900008542468;3.23422741348242;16/03/2017
49;73290.87;210671.429;J;J;51.2010778349936;3.27088098087942;16/03/2017
59;71432.441;209120.123;J;J;51.186825258572;3.24462553541837;16/03/2017
96;0;0;J;J;51.2050555435781;3.2569242865517;16/03/2017
37;67004.143;225026.485;J;J;51.3294055740122;3.17754553666527;16/03/2017
75;68842.854;211673.07;J;J;51.2095313872787;3.20728534941749;16/03/2017
