Id;Straatnaam;Wegbeheer;latWGS84;loWGS84;Aangemaakt op
277;Laconiastraat;Stad;51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369,51.2306006617369;3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189,3.2116186860189;15/09/2016
200;Dopheidestraat;Stad;51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058,51.1926164460058;3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597,3.17027501522597;15/09/2016
87;Kamerheerstraat;Stad;51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778,51.217339888778;3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917,3.27695283399917;15/09/2016
258;Arendstraat;Stad;51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669,51.2415012141669;3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042,3.24779182421042;15/09/2016
158;Velodroomstraat;Stad;51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952,51.1896779829952;3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535,3.19421928881535;15/09/2016
348;Lijsterbeekstraat;Stad;51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849,51.1759268408849;3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914,3.22721708388914;15/09/2016
104;Breeweg;Stad;51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259,51.2150811666259;3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666,3.2688059736666;15/09/2016
296;Ter Doeststraat;Stad;51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289,51.2903195507289;3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357,3.2004898181357;15/09/2016
254;ng;;51.2243436339632,51.2243436339632,51.2243436339632,51.2243436339632,51.2243436339632,51.2243436339632,51.2243436339632,51.2243436339632;3.23939740411986,3.23939740411986,3.23939740411986,3.23939740411986,3.23939740411986,3.23939740411986,3.23939740411986,3.23939740411986;15/09/2016
317;Wielingenstraat;Stad;51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484,51.3323943696484;3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294,3.21263005561294;15/09/2016
