Operatie;Dossier_Jaar;Element_Type;Element_Jaar;Feit_Volgnummer;Feit_Type;Feitcodegroep_volgens_vertaalta;Feit;Avoc_Waarde__Zwaarste_;Avoc_Waarde__Som_;Avoc_Aantal_Objecten;Avoc_Aantal_Slachtoffers;Avoc_Aantal_Doden;Avoc_Aantal_Zwaar_gewonden;Avoc_Aantal_Licht_gewonden;Avoc_Aantal_Niet_gewonden;Datum_Laag;Uur_Laag;Datum_Hoog;Uur_Hoog;Datum;Jaar;Maand;Week;Dag;Weekend_volgens_Politie;Uur;Uur__Groep_;Dag_of_Nacht_volgens_Zon;Dag_of_Nacht_volgens_Politie__2;Straat;Huisnummer;Busnummer;Postcode;Gemeente;Land;Kruispunt_met_straat;KmHm_paal;Lokale_plaats;Poging__;Zware_Overtreding__;minderjarig__;Matching;Type_Locatie;Locatie;EL_DATUM_CREATIE;ObjectID;X;Y;latWGS84;loWGS84;Aangemaakt op
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20151015;1335;20151015;1335;20151015;2015;october;42;thursday;0;1335;13;day;day;Koningin Astridlaan;;-9;8200;BRUGGE;België;Veldstraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20151015;894;68778,02652420514;209357.43819669614;51.1884919351509;3.20696372826354;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130614;1623;20130614;1623;20130614;2013;june;24;friday;0;1623;16;day;day;Isabellalaan;;-9;8380;BRUGGE;België;Meeuwenstraat;-99,9;;-9;-9;;MultiNetCrossroadMatching;politiezone;;20130614;114;68771,49429087117;224861.82702695765;51.3278313169838;3.20339190315753;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20131227;1104;20131227;1104;20131227;2013;december;52;friday;0;1104;11;day;day;Wollestraat;27;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20131227;304;70141,82735515075;211469.92455590953;51.2076677845787;3.22600359899912;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;3;3;0;1;0;1;0;1;20150513;827;20150513;827;20150513;2015;may;20;wednesday;0;827;8;day;day;Bargeweg;;-9;8000;BRUGGE;België;;0,1;;-9;-9;;AnchorPoints;politiezone;;20150513;739;70100,74389489298;210204.49532815858;51.1962891958416;3.22569437355315;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140311;1649;20140311;1649;20140311;2014;march;11;tuesday;0;1649;16;day;day;Gentpoortstraat;10;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20140311;359;70554,73405028894;211075.55554440478;51.2041803726984;3.23199762159778;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150924;800;20150924;800;20150924;2015;september;39;thursday;0;800;8;day;day;Hertogenstraat;;-9;8200;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150925;872;68466,35140326245;210605.65972851816;51.1996662792288;3.20222596069484;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;3;20140207;1610;20140207;1610;20140207;2014;february;6;friday;0;1610;16;day;day;Daverlostraat;;-9;8310;BRUGGE;België;Gulden-Peerdenstraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20140207;337;71124,46687499988;210471.3268749996;51.1988279857366;3.24027981551683;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20141015;820;20141015;820;20141015;2014;october;42;wednesday;0;820;8;day;day;Katelijnestraat;;-9;8000;BRUGGE;België;Arsenaalstraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20141015;586;70223,71981358495;210775.53960608205;51.2014383958415;3.22732792477783;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150605;1124;20150605;1124;20150605;2015;june;23;friday;0;1124;11;day;day;Wantestraat;28;-9;8310;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150605;763;70662,95666039096;210121.31402793436;51.1956190824857;3.23375447795946;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;0;20140620;25;20140620;25;20140620;2014;june;25;friday;0;25;0;night;night;Ezelstraat;50;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20140620;460;69611,96566881503;212102.76430870863;51.2132818418376;3.2182823760752;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130503;1824;20130503;1824;20130503;2013;may;18;friday;0;1824;18;day;day;Torhoutse Steenweg;;-9;8200;BRUGGE;België;Expresweg;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130503;70;68130,18240581219;209942.60649857152;51.1936596436259;3.19756660319027;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130319;1630;20130319;1630;20130319;2013;march;12;tuesday;0;1630;16;day;day;Baron Ruzettelaan;;-9;8310;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130319;42;70501,56844425220;210072.974985555;51.1951624561531;3.2314565907181;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130728;15;20130728;15;20130728;2013;july;30;sunday;1;15;0;night;night;Ezelstraat;;-9;8000;BRUGGE;België;Poitevinstraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130728;155;69728,17685214274;211949.33519920323;51.2119190842895;3.2199792193026;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;2;0;2;0;0;2;0;20141203;1755;20141203;1755;20141203;2014;december;49;wednesday;0;1755;17;night;day;Generaal Lemanlaan;62;-9;8310;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20141203;631;70930,92513191910;210846.42260099595;51.2021726730814;3.23742951746;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20141009;902;20141009;902;20141009;2014;october;41;thursday;0;902;9;day;day;Vrijdagmarkt;9;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20141009;577;69504,80298361035;211154.6439848278;51.2047458263917;3.21695930645584;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150505;1935;20150505;1935;20150505;2015;may;19;tuesday;0;1935;19;day;day;Buiten Kruisvest;;-9;8000;BRUGGE;België;Damse Vaart-Zuid;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150505;736;70774,03102568098;213003.7814840301;51.221540171746;3.23471388344962;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140613;800;20140613;804;20140613;2014;june;24;friday;0;804;8;day;day;Ter Zwanekerke;0;-9;8200;BRUGGE;België;;-99,9;Kerkebeekpad;-9;-9;;MultiNetStreetMatching;politiezone;;20140613;448;69280,45685226262;209408.8212125723;51.1890241357104;3.21413787206068;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140512;820;20140514;820;20140514;2014;may;20;wednesday;0;820;8;day;day;Schaakstraat;;-9;8310;BRUGGE;België;Leopold Debruynestraat;-99,9;;0;0;;AnchorPoints;politiezone;;20140514;416;72105,56258859795;211751.33241839486;51.2104650591629;3.25403955256258;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20141127;823;20141127;823;20141127;2014;november;48;thursday;0;823;8;day;day;Komvest;;-9;8000;BRUGGE;België;Walweinstraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20141127;624;70213,10889523730;212951.2405490568;51.2209907420332;3.22669764468298;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130111;830;20130111;830;20130111;2013;january;2;friday;0;830;8;night;day;Gistelse Steenweg;433;-9;8200;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130111;8;67163,88817980490;210414.832316944;51.1977659715211;3.18363783967222;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130313;1220;20130313;1220;20130313;2013;march;11;wednesday;0;1220;12;day;day;Vossensteert;196;-9;8310;BRUGGE;België;;-99,9;;-9;-9;;GrabAddressMatching;politiezone;;20130313;39;72979,25000000000;211240.24;51.2059888028974;3.26664920238974;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20130214;1845;20130214;1845;20130214;2013;february;7;thursday;0;1845;18;night;day;Astridlaan;218;-9;8310;BRUGGE;België;;-99,9;;-9;-9;;GrabAddressMatching;politiezone;;20130214;25;72380,74000000001;209974.16;51.1945298536261;3.25835699597507;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;2;0;2;0;0;2;1;20150228;1923;20150228;1923;20150228;2015;february;9;saturday;1;1923;19;night;day;Buiten Katelijnevest;;-9;8000;BRUGGE;België;;5,3;;-9;-9;;AnchorPoints;politiezone;;20150228;691;69934,29560836667;210263.57925524685;51.1967971649149;3.22330045998161;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;2;20131220;1127;20131220;1127;20131220;2013;december;51;friday;0;1127;11;day;day;Ezelstraat;102;-9;8000;BRUGGE;België;Klaverstraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20131220;298;69509,16124785823;212236.6004561167;51.2144703544753;3.21678162967195;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130218;800;20130218;804;20130218;2013;february;8;monday;0;804;8;day;day;Stationslaan;;-9;8200;BRUGGE;België;Magdalenastraat;-99,9;T.h.v. Xpunt Magdalenastraat;-9;-9;;MultiNetCrossroadMatching;politiezone;;20130218;27;69125,01525679424;210832.71421234682;51.2017994817769;3.21159757939547;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140715;1839;20140715;1839;20140715;2014;july;29;tuesday;0;1839;18;day;day;Zandstraat;;-9;8200;BRUGGE;België;Sint-Hubertuslaan;-99,9;;-9;-9;;AnchorPoints;politiezone;;20140715;490;67379,73425896824;210762.0520907917;51.2009174568079;3.18664634846189;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;3;3;0;1;0;1;0;1;20130607;2130;20130607;2130;20130607;2013;june;23;friday;0;2130;21;day;day;Wittemolenstraat;;-9;8200;BRUGGE;België;Graaf Pierre de Brieylaan;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130608;106;68088,13391380508;208738.84103209843;51.1828349783693;3.19723669868919;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130518;2030;20130518;2030;20130518;2013;may;20;saturday;1;2030;20;day;day;Filips de Goedelaan;29;-9;8000;BRUGGE;België;;-99,9;thv Scheepsdalelaan;-9;-9;;AnchorPoints;politiezone;;20130518;86;69372,61784405015;212373.06293651575;51.2156777412513;3.21479741671756;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20141017;552;20141017;552;20141017;2014;october;42;friday;0;552;5;night;night;Generaal Lemanlaan;1;-9;8310;BRUGGE;België;Nijverheidsstraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20141017;592;70881,53086916824;210858.0037251164;51.2022699949037;3.23672036334615;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140407;1928;20140407;1928;20140407;2014;april;15;monday;0;1928;19;day;day;Joseph Wautersstraat;;-9;8200;BRUGGE;België;N31 Richting Zeebrugge;-99,9;;-9;-9;;AnchorPoints;politiezone;;20140407;384;68178,05462546549;209806.58447963963;51.1924439437044;3.19828197903441;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;3;3;0;1;0;1;0;1;20141006;1241;20141006;1241;20141006;2014;october;41;monday;0;1241;12;day;day;Sasplein;2;-9;8000;BRUGGE;België;Wulpenstraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20141006;574;70644,90345306393;212968.38788243633;51.221204347709;3.23287358000983;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;2;0;2;0;0;2;0;20130725;1752;20130725;1752;20130725;2013;july;30;thursday;0;1752;17;day;day;Katelijnestraat;;-9;8000;BRUGGE;België;Bargeweg;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130725;154;70387,66812858846;210566.5738653051;51.1995829519534;3.22971914240351;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;3;3;0;1;0;1;0;0;20130816;2003;20130816;2003;20130816;2013;august;33;friday;0;2003;20;day;day;Bommelbekestraat;18;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130816;181;70626,26905843454;214181.8611140637;51.2321076574696;3.23234122913068;10/10/2016
