Naam;Bijnaam;Straat;nr;postcode;plaats;man;afvalemMan;vrouw;afvalemVrouw;invalide;baby;prijs;maO;maD;DiO;DiD;WoeO;WoeD;DoO;DoD;VrO;VrD;ZaO;ZaD;ZoO;ZoD;Opmerking;latWGS84;loWGS84;Aangemaakt op
Urinoir thv. Jan Breydelstadion Parking Noord;Sint-Andries;Olympialaan;;8200;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.1940520057168;3.179773320554588;06/07/2018
Crematorium;Lissewege;Zeelaan;2;8380;Brugge;x;;x;;x;;0.0;090000.000;170000.000;090000.000;170000.000;090000.000;170000.000;090000.000;170000.000;090000.000;170000.000;090000.000;170000.000;000000.000;000000.000;Zondag gesloten.;51.25655668969605;3.1950569037569987;06/07/2018
Dienstencentrum  't Werftje;Brugge centrum;Werfstraat;88;8000;Brugge;x;;x;;x;;0.0;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;000000.000;000000.000;000000.000;000000.000;Tijdens het weekend gesloten. In verlofperiodes pas vanaf 09:45 open.;51.21843556319986;3.2191557325344546;06/07/2018
Hema;Brugge centrum;Steenstraat;73-75;8000;Brugge;x;;x;;x;x;0.4;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;000000.000;000000.000;Zondag gesloten.;51.2062517337041;3.221815360361606;06/07/2018
Dienstencentrum Meulewech;Sint-Andries;Kosterijstraat;40;8200;Brugge;x;;x;;x;;0.0;094500.000;180000.000;094500.000;180000.000;094500.000;180000.000;094500.000;180000.000;094500.000;180000.000;000000.000;000000.000;000000.000;000000.000;Tijdens het weekend gesloten.;51.197905034989866;3.176875251879408;06/07/2018
Urinoir thv. Sint-Donaaskerk;Zeebrugge;Sint-Donaaskerkstraat;;8380;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.3316096557802;3.2073906650392123;06/07/2018
Minnewater;Brugge centrum;Professor Dr. Sebrechtsstraat-Oostmeers;;8000;Brugge;x;;x;;x;x;0.5;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;Tussen Poertoren en Minnewater.;51.198809972349764;3.2246081896358683;06/07/2018
Urinoir thv. Jan Breydelstadion Parking West;Sint-Andries;Lange Molenstraat;;8200;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.193570492539415;3.179484963871233;06/07/2018
Hoeve De Grendel;Koolkerke;Koolkerkse Steenweg;199;8000;Brugge;x;;x;;x;x;0.0;083000.000;123000.000;083000.000;180000.000;083000.000;160000.000;083000.000;123000.000;083000.000;123000.000;090000.000;114500.000;000000.000;000000.000;Tijdens het weekend gesloten.;51.230289740756206;3.238801226557493;06/07/2018
Urinoir thv. Jan Breydelstadion Parking Zuid;Sint-Andries;Koning Leopold III-laan;;8200;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.19131686027615;3.181366308252671;06/07/2018
Bibliotheek De Arend;Koolkerke;Arendstraat;36;8000;Brugge;x;;x;;x;;0.0;000000.000;000000.000;000000.000;000000.000;140000.000;180000.000;000000.000;000000.000;000000.000;000000.000;100000.000;120000.000;000000.000;000000.000;De toiletten worden door de verschillende doelgroepen gebruikt.;51.241883925372086;3.246844759443246;06/07/2018
Bibliotheek  Biekorf;Brugge centrum;Kuipersstraat;3;8000;Brugge;x;;x;;x;;0.0;093000.000;190000.000;093000.000;190000.000;093000.000;190000.000;093000.000;190000.000;093000.000;190000.000;093000.000;170000.000;000000.000;000000.000;Zondag gesloten.;51.209914489862726;3.2228525876387133;06/07/2018
Urinoir thv. kerk;Brugge centrum;Jan Boninstraat;20;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.213045517810755;3.21972765660699;06/07/2018
Zwembad Interbad;Sint-Kruis;Veltemweg;35;8310;Brugge;x;;x;;x;;0.0;073000.000;183000.000;073000.000;183000.000;073000.000;210000.000;073000.000;210000.000;073000.000;210000.000;073000.000;180000.000;073000.000;114500.000;ma,di, do en vr van 12:00-15:00 woe en za van 12:00-14:00 gesloten.;51.20700886160157;3.2575436937625786;06/07/2018
Koude Keuken;Sint-Andries;Zandstraat;270;8200;Brugge;x;;x;;;;0.0;073000.000;180000.000;073000.000;180000.000;073000.000;180000.000;073000.000;180000.000;073000.000;180000.000;073000.000;180000.000;073000.000;180000.000;Van zonsopgang tot zonsondergang.;51.20290433322655;3.1807855662157505;06/07/2018
Conservatorium;Brugge centrum;Sint-Jacobsstraat;23;8000;Brugge;x;;x;;x;;0.0;140000.000;190000.000;140000.000;190000.000;140000.000;190000.000;140000.000;190000.000;140000.000;190000.000;000000.000;000000.000;000000.000;000000.000;Tijdens het weekend gesloten.;51.20953251717166;3.22170335825624;06/07/2018
Administratief centrum;Zeebrugge;Marktplein;12;8380;Brugge;x;;x;;x;;0.0;083000.000;123000.000;083000.000;180000.000;083000.000;160000.000;080300.000;123000.000;083000.000;123000.000;090000.000;114500.000;000000.000;000000.000;Dinsdag en woensdag gesloten van 12:30-14:00.;51.33134977583566;3.210676767698986;06/07/2018
Urinoir thv. bushalte;Brugge centrum;Sasplein;2;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.22136605613721;3.232807655672501;06/07/2018
Urinoir thv. Arentshof;Brugge centrum;Dijver;16;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.20530469098806;3.225498622970074;06/07/2018
Urinoir thv. Gentpoort;Brugge centrum;Gentpoortvest;1;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.20308747039854;3.2346102255947966;06/07/2018
Kerkhof;Sint-Pieters;Sint-Pieterskerklaan;;8000;Brugge;x;;x;;x;;0.0;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;01/04 tot 15/10 open van 08:00-18:00, 16/10 tot 31/03 open van 08:00-17:00 1 toilet voor 3 doelgroepen.;51.2294113572974;3.2056754688256044;06/07/2018
Urinoir thv. Sint-Jacobskerk;Brugge centrum;Moerstraat;1;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.21054824717647;3.220329723752789;06/07/2018
