ID;Straat;Aantal;Type;Opmerking;latWGS84;loWGS84;Aangemaakt op
0;Sint-Maartensbilk;3;L;;51.2042282709787,51.2042282709787,51.2042282709787;3.21353624914785,3.21353624914785,3.21353624914785;22/06/2016
0;Potterierei;6;L;;51.2144913728416,51.2144913728416,51.2144913728416,51.2144913728416,51.2144913728416;3.22921656415176,3.22921656415176,3.22921656415176,3.22921656415176,3.22921656415176;22/06/2016
0;Steenstraat;6;L;;51.207611625205,51.207611625205,51.207611625205,51.207611625205;3.22313423863247,3.22313423863247,3.22313423863247,3.22313423863247;22/06/2016
0;Korte Lane;5;L;;51.2075895276559,51.2075895276559,51.2075895276559,51.2075895276559,51.2075895276559,51.2075895276559,51.2075895276559,51.2075895276559,51.2075895276559;3.21632730854785,3.21632730854785,3.21632730854785,3.21632730854785,3.21632730854785,3.21632730854785,3.21632730854785,3.21632730854785,3.21632730854785;22/06/2016
0;Baliestraat;15;L;;51.2159008520331,51.2159008520331,51.2159008520331;3.22624647515968,3.22624647515968,3.22624647515968;22/06/2016
0;Langestraat;3;L;;51.2101897230327,51.2101897230327,51.2101897230327;3.23476234635066,3.23476234635066,3.23476234635066;22/06/2016
0;Blokstraat;8;L;;51.2165650496768,51.2165650496768,51.2165650496768,51.2165650496768,51.2165650496768,51.2165650496768,51.2165650496768,51.2165650496768,51.2165650496768,51.2165650496768;3.21837335901251,3.21837335901251,3.21837335901251,3.21837335901251,3.21837335901251,3.21837335901251,3.21837335901251,3.21837335901251,3.21837335901251,3.21837335901251;22/06/2016
0;Nieuwstraat;4;L;;51.2063743665035,51.2063743665035,51.2063743665035,51.2063743665035,51.2063743665035;3.2237733942125,3.2237733942125,3.2237733942125,3.2237733942125,3.2237733942125;22/06/2016
0;Meestraat;3;L;;51.2082764206691,51.2082764206691;3.2296930278513,3.2296930278513;22/06/2016
0;Beenhouwersstraat;7;L;;51.2110106899369,51.2110106899369,51.2110106899369,51.2110106899369,51.2110106899369,51.2110106899369;3.21539965829749,3.21539965829749,3.21539965829749,3.21539965829749,3.21539965829749,3.21539965829749;22/06/2016
0;Oude Burg;7;L;;51.2065173753323,51.2065173753323,51.2065173753323,51.2065173753323,51.2065173753323,51.2065173753323;3.22406136374985,3.22406136374985,3.22406136374985,3.22406136374985,3.22406136374985,3.22406136374985;22/06/2016
0;'t Zand;0;LaLo;;51.2046720694274,51.2046720694274;3.21804854046516,3.21804854046516;22/06/2016
0;Oude Gentweg;8;L;;51.2026575110406,51.2026575110406,51.2026575110406,51.2026575110406;3.22744688416388,3.22744688416388,3.22744688416388,3.22744688416388;22/06/2016
0;Waalsestraat;8;L;;51.2078293837853,51.2078293837853,51.2078293837853,51.2078293837853,51.2078293837853,51.2078293837853,51.2078293837853,51.2078293837853,51.2078293837853;3.23032380894759,3.23032380894759,3.23032380894759,3.23032380894759,3.23032380894759,3.23032380894759,3.23032380894759,3.23032380894759,3.23032380894759;22/06/2016
0;Oude Burg;4;L;;51.2070828064149,51.2070828064149,51.2070828064149,51.2070828064149,51.2070828064149,51.2070828064149;3.22489057746928,3.22489057746928,3.22489057746928,3.22489057746928,3.22489057746928,3.22489057746928;22/06/2016
0;Park;2;L;;51.2067655241738,51.2067655241738;3.22983875038546,3.22983875038546;22/06/2016
0;Snaggaardstraat;7;L;;51.2152720170992,51.2152720170992;3.23121977538017,3.23121977538017;22/06/2016
0;Zwarteleertouwersstraat;8;L;;51.2080874333801,51.2080874333801,51.2080874333801,51.2080874333801,51.2080874333801;3.23100749089696,3.23100749089696,3.23100749089696,3.23100749089696,3.23100749089696;22/06/2016
0;Park;3;H;;51.20719119302,51.20719119302,51.20719119302,51.20719119302,51.20719119302;3.2305994979552,3.2305994979552,3.2305994979552,3.2305994979552,3.2305994979552;22/06/2016
0;Stalijzerstraat;3;L;;51.2050832160681,51.2050832160681;3.23156036476855,3.23156036476855;22/06/2016
0;Boeveriestraat;13;L;;51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244,51.2031840649244;3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394,3.21637890935394;22/06/2016
0;Jan Boninstraat;1;L;;51.2132149453285,51.2132149453285,51.2132149453285;3.21945967145007,3.21945967145007,3.21945967145007;22/06/2016
0;Wijngaardplein;9;L;;51.201034986329,51.201034986329,51.201034986329,51.201034986329,51.201034986329;3.2245555203514,3.2245555203514,3.2245555203514,3.2245555203514,3.2245555203514;22/06/2016
0;Vizierstraat;14;L;;51.205649781643,51.205649781643,51.205649781643,51.205649781643,51.205649781643,51.205649781643,51.205649781643;3.23492800677956,3.23492800677956,3.23492800677956,3.23492800677956,3.23492800677956,3.23492800677956,3.23492800677956;22/06/2016
0;Eekhoutpoort;4;L;;51.2058325025678,51.2058325025678,51.2058325025678;3.22705931412522,3.22705931412522,3.22705931412522;22/06/2016
0;Vuldersstraat;4;L;;51.2088004121061,51.2088004121061,51.2088004121061,51.2088004121061;3.23974408881363,3.23974408881363,3.23974408881363,3.23974408881363;22/06/2016
0;Werkhuisstraat;7;L;;51.2030760205477,51.2030760205477,51.2030760205477,51.2030760205477,51.2030760205477;3.22866519436037,3.22866519436037,3.22866519436037,3.22866519436037,3.22866519436037;22/06/2016
0;Hoedenmakersstraat;7;L;;51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864,51.2146791596864;3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147,3.22358251236147;22/06/2016
0;Adriaan Willaertstraat;0;LaLo;;51.2105741930333,51.2105741930333,51.2105741930333;3.22307072853238,3.22307072853238,3.22307072853238;22/06/2016
0;Coupure;23;L;;51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798,51.2077949470798;3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341,3.23373392619341;22/06/2016
0;Zuidzandstraat;3;L;;51.2053441460307,51.2053441460307,51.2053441460307,51.2053441460307,51.2053441460307,51.2053441460307,51.2053441460307,51.2053441460307,51.2053441460307;3.21911483996281,3.21911483996281,3.21911483996281,3.21911483996281,3.21911483996281,3.21911483996281,3.21911483996281,3.21911483996281,3.21911483996281;22/06/2016
0;Smedenstraat;0;LaLo;;51.2056446873797,51.2056446873797;3.21570384015071,3.21570384015071;22/06/2016
0;Katelijnestraat;4;H;;51.1996503974133,51.1996503974133,51.1996503974133,51.1996503974133,51.1996503974133,51.1996503974133,51.1996503974133,51.1996503974133,51.1996503974133,51.1996503974133;3.22950143827084,3.22950143827084,3.22950143827084,3.22950143827084,3.22950143827084,3.22950143827084,3.22950143827084,3.22950143827084,3.22950143827084,3.22950143827084;22/06/2016
0;Balsemboomstraat;15;L;;51.2103854284901,51.2103854284901,51.2103854284901,51.2103854284901;3.23692540420066,3.23692540420066,3.23692540420066,3.23692540420066;22/06/2016
0;Sint-Jakobsstraat;0;LaLo;;51.2107191463785,51.2107191463785,51.2107191463785,51.2107191463785,51.2107191463785,51.2107191463785,51.2107191463785,51.2107191463785;3.22104877626769,3.22104877626769,3.22104877626769,3.22104877626769,3.22104877626769,3.22104877626769,3.22104877626769,3.22104877626769;22/06/2016
0;Gouden Handstraat;2;L;;51.2136237057722,51.2136237057722,51.2136237057722;3.22768604341785,3.22768604341785,3.22768604341785;22/06/2016
0;Grauwwerkersstraat;7;L;;51.2113760670042,51.2113760670042,51.2113760670042,51.2113760670042,51.2113760670042,51.2113760670042,51.2113760670042,51.2113760670042,51.2113760670042,51.2113760670042,51.2113760670042,51.2113760670042;3.22294587549011,3.22294587549011,3.22294587549011,3.22294587549011,3.22294587549011,3.22294587549011,3.22294587549011,3.22294587549011,3.22294587549011,3.22294587549011,3.22294587549011,3.22294587549011;22/06/2016
0;Lange Raamstraat;9;H;;51.2146715150034,51.2146715150034,51.2146715150034,51.2146715150034;3.22650721778699,3.22650721778699,3.22650721778699,3.22650721778699;22/06/2016
0;Cordoeaniersstraat;4;L;;51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535,51.2102454032535;3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074,3.22621890040074;22/06/2016
0;Schaarstraat;4;L;;51.204927497439,51.204927497439;3.23235923941911,3.23235923941911;22/06/2016
0;Verbrand Nieuwland;4;L;;51.21046585291,51.21046585291,51.21046585291,51.21046585291;3.23407115880268,3.23407115880268,3.23407115880268,3.23407115880268;22/06/2016
0;James Wealestraat;3;L;;51.2176567082244,51.2176567082244,51.2176567082244,51.2176567082244,51.2176567082244,51.2176567082244,51.2176567082244;3.22207567503428,3.22207567503428,3.22207567503428,3.22207567503428,3.22207567503428,3.22207567503428,3.22207567503428;22/06/2016
0;Carmersstraat;9;L;;51.2139191299947,51.2139191299947,51.2139191299947,51.2139191299947,51.2139191299947;3.23249265834145,3.23249265834145,3.23249265834145,3.23249265834145,3.23249265834145;22/06/2016
0;Komvest;2;L;;51.2207146134924,51.2207146134924,51.2207146134924;3.23044488223726,3.23044488223726,3.23044488223726;22/06/2016
0;Hoogstraat;2;L;;51.2098694304684,51.2098694304684,51.2098694304684,51.2098694304684,51.2098694304684,51.2098694304684,51.2098694304684,51.2098694304684,51.2098694304684;3.23013197887058,3.23013197887058,3.23013197887058,3.23013197887058,3.23013197887058,3.23013197887058,3.23013197887058,3.23013197887058,3.23013197887058;22/06/2016
0;Hendrik Consciencelaan;6;L;;51.2023521457407,51.2023521457407,51.2023521457407,51.2023521457407,51.2023521457407;3.21449209518599,3.21449209518599,3.21449209518599,3.21449209518599,3.21449209518599;22/06/2016
0;Katelijnestraat;3;L;;51.2002753075054,51.2002753075054,51.2002753075054,51.2002753075054;3.22856944297165,3.22856944297165,3.22856944297165,3.22856944297165;22/06/2016
0;Elf-Julistraat;28;L;;51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985,51.2155227034985;3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264,3.22022576513264;22/06/2016
0;Burg;0;LaLo;;51.2091125958314,51.2091125958314,51.2091125958314;3.22699566634903,3.22699566634903,3.22699566634903;22/06/2016
0;Collaert Mansionstraat;3;L;;51.2149933239398,51.2149933239398,51.2149933239398,51.2149933239398,51.2149933239398,51.2149933239398;3.22731119828356,3.22731119828356,3.22731119828356,3.22731119828356,3.22731119828356,3.22731119828356;22/06/2016
0;Buiten Kazernevest;16;L;;51.2092263298544,51.2092263298544,51.2092263298544,51.2092263298544;3.2412668961846,3.2412668961846,3.2412668961846,3.2412668961846;22/06/2016
0;Zilverstraat;5;L;;51.2071946212341,51.2071946212341,51.2071946212341,51.2071946212341,51.2071946212341,51.2071946212341,51.2071946212341,51.2071946212341,51.2071946212341,51.2071946212341,51.2071946212341;3.22171842471355,3.22171842471355,3.22171842471355,3.22171842471355,3.22171842471355,3.22171842471355,3.22171842471355,3.22171842471355,3.22171842471355,3.22171842471355,3.22171842471355;22/06/2016
0;Lane;4;L;;51.2072723417567,51.2072723417567,51.2072723417567,51.2072723417567;3.2156488639638,3.2156488639638,3.2156488639638,3.2156488639638;22/06/2016
0;Violierstraat;4;L;;51.2048937418753,51.2048937418753;3.23427489288806,3.23427489288806;22/06/2016
0;Sint-Jakobsstraat;0;LaLo;;51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556,51.2102053524556;3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216,3.22124406316216;22/06/2016
0;James Wealestraat;6;L;;51.2175813796119,51.2175813796119,51.2175813796119,51.2175813796119,51.2175813796119,51.2175813796119,51.2175813796119,51.2175813796119,51.2175813796119,51.2175813796119,51.2175813796119;3.22255359780205,3.22255359780205,3.22255359780205,3.22255359780205,3.22255359780205,3.22255359780205,3.22255359780205,3.22255359780205,3.22255359780205,3.22255359780205,3.22255359780205;22/06/2016
0;Schuttersstraat;4;L;;51.2141549417576,51.2141549417576,51.2141549417576;3.22055095971107,3.22055095971107,3.22055095971107;22/06/2016
0;Koningsstraat;8;L;;51.2119950450365,51.2119950450365,51.2119950450365,51.2119950450365,51.2119950450365,51.2119950450365,51.2119950450365;3.22811701454534,3.22811701454534,3.22811701454534,3.22811701454534,3.22811701454534,3.22811701454534,3.22811701454534;22/06/2016
0;James Wealestraat;2;L;;51.217526846894,51.217526846894;3.2212319034477,3.2212319034477;22/06/2016
0;Boninvest;8;L;;51.2044887102607,51.2044887102607;3.23578449218753,3.23578449218753;22/06/2016
0;Rijkepijndersstraat;3;L;;51.214042160044,51.214042160044,51.214042160044,51.214042160044,51.214042160044,51.214042160044,51.214042160044,51.214042160044,51.214042160044,51.214042160044,51.214042160044,51.214042160044;3.231306956926,3.231306956926,3.231306956926,3.231306956926,3.231306956926,3.231306956926,3.231306956926,3.231306956926,3.231306956926,3.231306956926,3.231306956926,3.231306956926;22/06/2016
0;Koningin Elisabethlaan;8;L;;51.2172711179042,51.2172711179042,51.2172711179042,51.2172711179042,51.2172711179042,51.2172711179042,51.2172711179042;3.21924165838287,3.21924165838287,3.21924165838287,3.21924165838287,3.21924165838287,3.21924165838287,3.21924165838287;22/06/2016
0;James Wealestraat;2;L;;51.2182361563255,51.2182361563255,51.2182361563255,51.2182361563255,51.2182361563255;3.22351365569999,3.22351365569999,3.22351365569999,3.22351365569999,3.22351365569999;22/06/2016
0;Hendrik Consciencelaan;22;L;;51.200798607086,51.200798607086,51.200798607086,51.200798607086,51.200798607086,51.200798607086,51.200798607086,51.200798607086,51.200798607086;3.21537348795547,3.21537348795547,3.21537348795547,3.21537348795547,3.21537348795547,3.21537348795547,3.21537348795547,3.21537348795547,3.21537348795547;22/06/2016
0;Minderbroedersstraat;18;L;;51.2073544767103,51.2073544767103,51.2073544767103,51.2073544767103,51.2073544767103,51.2073544767103,51.2073544767103;3.23070805018022,3.23070805018022,3.23070805018022,3.23070805018022,3.23070805018022,3.23070805018022,3.23070805018022;22/06/2016
0;'s-Gravenhof;1;L;;51.2195453800641,51.2195453800641;3.22888459647092,3.22888459647092;22/06/2016
0;Burg;2;H;;51.2092634289062,51.2092634289062;3.22641451988739,3.22641451988739;22/06/2016
0;'t Zand;0;LaLo;;51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543,51.2057049649543;3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211,3.2177279084211;22/06/2016
0;Zuidzandstraat;0;LaLo;;51.2055594348261,51.2055594348261,51.2055594348261,51.2055594348261,51.2055594348261,51.2055594348261,51.2055594348261,51.2055594348261,51.2055594348261,51.2055594348261;3.22028096101572,3.22028096101572,3.22028096101572,3.22028096101572,3.22028096101572,3.22028096101572,3.22028096101572,3.22028096101572,3.22028096101572,3.22028096101572;22/06/2016
0;Kruisvest;5;L;;51.2126543039909,51.2126543039909,51.2126543039909,51.2126543039909;3.23969881031489,3.23969881031489,3.23969881031489,3.23969881031489;22/06/2016
0;Korte Lane;7;L;;51.2078980337575,51.2078980337575,51.2078980337575,51.2078980337575,51.2078980337575,51.2078980337575;3.21706685676401,3.21706685676401,3.21706685676401,3.21706685676401,3.21706685676401,3.21706685676401;22/06/2016
0;Garenmarkt;5;L;;51.2042994363085,51.2042994363085,51.2042994363085,51.2042994363085,51.2042994363085,51.2042994363085,51.2042994363085,51.2042994363085,51.2042994363085;3.22959271149689,3.22959271149689,3.22959271149689,3.22959271149689,3.22959271149689,3.22959271149689,3.22959271149689,3.22959271149689,3.22959271149689;22/06/2016
0;Predikherenrei;10;L;;51.2064423089396,51.2064423089396;3.23551937761468,3.23551937761468;22/06/2016
